strategy,fast,slow,ma_type,hold,n_tickers,avg_net,win_rate,t_stat,p_value
EMA10x100_H5,10,100,EMA,5,890,0.002760988983378923,0.5247191011235955,2.437757400270577,0.01497371050903683
EMA5x100_H20,5,100,EMA,20,907,0.006515479717734525,0.5192943770672547,2.3975007150521077,0.016708918988352705
EMA10x100_H20,10,100,EMA,20,890,0.007918250990300047,0.5202247191011236,2.287589069011344,0.02239555838182845
EMA20x50_H5,20,50,EMA,5,895,0.002874196155557836,0.5128491620111731,2.28129262399686,0.022765549770172512
EMA20x100_H20,20,100,EMA,20,854,0.008525502272168054,0.5339578454332553,2.2600745088433283,0.024068062411752245
EMA5x50_H3,5,50,EMA,3,916,0.0016310064491494689,0.5131004366812227,2.180385290376816,0.029483071203466674
EMA5x200_H20,5,200,EMA,20,886,0.006646028010784336,0.5474040632054176,2.1683420918725975,0.030398479225363987
EMA5x200_H3,5,200,EMA,3,886,0.0019426545283926808,0.5282167042889391,2.15063207258848,0.03177547760251155
SMA5x20_H5,5,20,SMA,5,922,0.0015707867750641867,0.5249457700650759,2.1346315659583355,0.033054561464029714
EMA5x100_H10,5,100,EMA,10,907,0.003205086068659102,0.5148842337375965,2.100572408868653,0.03595438062790544
EMA10x200_H20,10,200,EMA,20,853,0.0066594312024229226,0.5310668229777257,2.0890642711978593,0.03699813755502491
EMA10x20_H5,10,20,EMA,5,919,0.0017902955092440101,0.5190424374319913,2.0867300119548635,0.037187965545159164
EMA50x100_H20,50,100,EMA,20,784,0.008401556800056534,0.5178571428571429,2.0473647179360395,0.040955510567291784
SMA10x100_H1,10,100,SMA,1,763,0.0011797617450410613,0.5058977719528178,2.010383044575512,0.044742570977993855
EMA5x50_H10,5,50,EMA,10,916,0.002565242152215435,0.5316593886462883,2.001462936541913,0.04563740779203751
EMA20x100_H5,20,100,EMA,5,854,0.003505234380424119,0.5070257611241218,1.9846284233102331,0.04750583575268867
EMA10x50_H10,10,50,EMA,10,912,0.0036630916152837335,0.5021929824561403,1.9782694297691428,0.04819922343892922
SMA5x100_H20,5,100,SMA,20,843,0.006519881235593243,0.5065243179122183,1.961641711789935,0.050133337900405396
EMA20x50_H10,20,50,EMA,10,895,0.0035934479732622924,0.4871508379888268,1.9468562917792323,0.051864836135820894
EMA20x200_H3,20,200,EMA,3,807,0.0024612955784778187,0.5390334572490706,1.8611388696308624,0.06308845920384665
SMA10x100_H3,10,100,SMA,3,763,0.0015492588317493352,0.47706422018348627,1.7687485729747274,0.07733584983451415
EMA10x100_H10,10,100,EMA,10,890,0.002777275061248102,0.501123595505618,1.6791634314177553,0.09347158904583337
EMA5x50_H5,5,50,EMA,5,916,0.0014698426166871422,0.5262008733624454,1.5866702687853398,0.11293283807413765
EMA10x200_H5,10,200,EMA,5,853,0.0019733737731392714,0.511137162954279,1.5199628148203383,0.12889131895271153
SMA5x100_H10,5,100,SMA,10,843,0.003084661678583088,0.4863582443653618,1.4785726503213381,0.13962854817251227
