strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
BelowEMA200,1,RANGE,SMALL,196289,0.002025500317309491,10.110669007660176,339848,0.0011093931167467388,6.130041343469333,True,True,True,True
BelowEMA200,1,RANGE,ALL,697265,0.0013817162300759668,16.30723256610071,1146420,0.05546695898083741,1.0174265976927213,True,False,False,True
BelowEMA200,1,ALL,LARGE,278813,0.00148302065789844,16.84658830590163,442102,0.0011755047653882037,10.239828173940607,True,True,True,True
BelowEMA200,1,ALL,MID,279910,0.0009361218905171477,6.705008843958961,479040,0.1320245277210232,1.011932774292246,True,False,False,True
BelowEMA200,1,ALL,SMALL,0,0.0,0.0,391018,0.001329676101102137,8.3004026536476,False,True,False,False
BelowEMA200,1,ALL,ALL,778521,0.0014869658286063411,18.96135471646255,1312160,0.04899147211999097,1.0285660422683582,True,False,False,True
BelowEMA200,5,BULL,LARGE,17841,-0.0058359538592114785,-8.679973726174289,23868,0.023897384150340133,17.071602130573694,True,True,True,False
BelowEMA200,5,BULL,MID,19301,-0.008714383247860948,-7.940194407893777,26201,0.015284138059891027,11.335744164292205,True,True,True,False
BelowEMA200,5,BULL,SMALL,14474,0.0033710590028327215,3.819323096443963,21866,0.011913557380123417,20.550183685084974,True,True,True,True
BelowEMA200,5,BULL,ALL,51616,-0.004330495502599103,-8.123799455036481,71935,0.01711745759201087,24.496334126105616,True,True,True,False
BelowEMA200,5,BEAR,LARGE,10355,0.02202123176514435,28.31282007913149,32436,0.023576910299259502,31.932754458780717,True,True,True,True
BelowEMA200,5,BEAR,MID,10250,0.01070425216264223,8.182843967778242,32065,0.018636299337819604,21.860957923297384,True,True,True,True
BelowEMA200,5,BEAR,SMALL,9035,0.012754186278330259,15.304748202226461,29303,0.014020002026199579,19.40637879287752,True,True,True,True
BelowEMA200,5,BEAR,ALL,29640,0.015282810817134498,26.06346714704246,93804,0.018902623769857286,42.14281828641255,True,True,True,True
BelowEMA200,5,RANGE,LARGE,250617,0.006998957235135933,23.06349508965708,380933,0.004906340055262468,12.803839477549745,True,True,True,True
BelowEMA200,5,RANGE,MID,250359,0.0024590965847947127,8.196263796268683,146223,0.931853547842579,1.8696348162908654,True,False,False,True
BelowEMA200,5,RANGE,SMALL,196289,0.0070005122665780985,18.03544424236534,335360,0.0036175347447335105,9.686534895614948,True,True,True,True
BelowEMA200,5,RANGE,ALL,697265,0.005369318952715295,28.517923044761808,1131381,0.12444105687957817,1.9317831963625576,True,False,False,True
BelowEMA200,5,ALL,LARGE,278813,0.006735583590162368,24.24827044826995,437237,0.007328085829054716,21.12057566758918,True,True,True,True
BelowEMA200,5,ALL,MID,279910,0.0019905656656523107,7.034514997353075,473354,0.29302829747880704,1.9031960796547025,True,False,False,True
BelowEMA200,5,ALL,SMALL,219798,0.006998017876987338,19.81568694251281,386529,0.004875459323986906,14.761117039105416,True,True,True,True
BelowEMA200,5,ALL,ALL,778521,0.005103648888498501,29.370427408086613,1297120,0.11085692411300652,1.9730067636173443,True,False,False,True
BelowEMA200,10,BULL,LARGE,17841,-0.0073353863888760305,-2.476529104730921,22652,0.03822459273361747,15.977775346605297,False,True,False,False
BelowEMA200,10,BULL,MID,19301,-0.014676863450766225,-8.774592870359431,24824,0.026903418945917985,15.847506312951017,True,True,True,False
BelowEMA200,10,BULL,SMALL,14474,0.0029462665800529075,2.032749166614503,20807,0.019111527175572716,23.34993618637272,False,True,False,True
BelowEMA200,10,BULL,ALL,51616,-0.007197467985653486,-5.680409367637723,68283,0.02828474865570511,27.295542054304914,True,True,True,False
BelowEMA200,10,BEAR,LARGE,10355,0.04311817928388325,35.31267760094707,32436,0.039017442439866226,38.51677676091661,True,True,True,True
BelowEMA200,10,BEAR,MID,10250,0.030466975122475794,15.495708223018946,32065,0.03204036208267679,27.858734634990185,True,True,True,True
BelowEMA200,10,BEAR,SMALL,9035,0.02869680297145833,26.4780211260512,29303,0.02835875504855897,15.431866761688097,True,True,True,True
BelowEMA200,10,BEAR,ALL,29640,0.03434719488316849,39.53495497349434,93804,0.033302850329926824,42.7453038036609,True,True,True,True
BelowEMA200,10,RANGE,LARGE,250617,0.013196064714345977,27.77484827357837,376036,0.010866126499702302,17.636949223576682,True,True,True,True
BelowEMA200,10,RANGE,MID,250359,0.0026934643350208193,6.575232460539528,409661,0.5457805446368988,3.033319313287112,True,True,True,True
BelowEMA200,10,RANGE,SMALL,196289,0.011189186259991985,23.473177704332567,331103,0.006280006929860526,12.83286297034679,True,True,True,True
BelowEMA200,10,RANGE,ALL,697265,0.008860053738183172,33.77032630059069,1116800,0.20572205191210272,3.1169214852883402,True,True,True,True
BelowEMA200,10,ALL,LARGE,278813,0.012993570129211764,27.66628327612073,431124,0.014421577045173682,25.87766617526045,True,True,True,True
BelowEMA200,10,ALL,MID,279910,0.0025127412060791513,6.425991590853784,466550,0.48286406254118786,3.056313815644574,True,True,True,True
BelowEMA200,10,ALL,SMALL,219798,0.01136604545589304,25.91318769316276,381213,0.008677509108104064,19.2730596955065,True,True,True,True
BelowEMA200,10,ALL,ALL,778521,0.008765790156648199,34.80798013157479,1278887,0.1836015970451199,3.185500488068475,True,True,True,True
BelowEMA200,20,BULL,LARGE,17841,0.0004221389055882355,0.2410335479934138,22645,0.05717992171571758,20.811057760155624,False,True,False,True
BelowEMA200,20,BULL,MID,19301,-0.022410627799678305,-10.586829662999298,24824,0.04901388990201773,21.568859284185383,True,True,True,False
BelowEMA200,20,BULL,SMALL,14474,0.005560055792239882,2.9056470935882466,20807,0.029669139272074475,26.183690863858132,False,True,False,True
BelowEMA200,20,BULL,ALL,51616,-0.0066750600474680555,-5.891126950113083,68276,0.04582702429864324,35.84922192596248,True,True,True,False
BelowEMA200,20,BEAR,LARGE,10355,0.04954783010454777,14.799321964578004,32436,0.02343236174502619,14.20079323611,True,True,True,True
BelowEMA200,20,BEAR,MID,10250,0.027644738296272207,10.635503452695481,32065,-0.0012438171226782345,-0.8227895648137898,True,False,False,False
BelowEMA200,20,BEAR,SMALL,9035,0.032120683485297216,22.854477513882404,29303,0.01209131194204415,5.857928687333643,True,True,True,True
BelowEMA200,20,BEAR,ALL,29640,0.03666115801481251,23.85146092377979,93804,0.011454530759463474,11.400893446391333,True,True,True,True
