strategy,hold,context1,context2,t_stat,mean_return,type
BB_Below_Lower,5,BEAR,ALL,31.316847715661613,0.0214197581092776,REGIME
Momentum_60d_Pos,10,ALL,LARGE,31.009421990915712,0.0096650868045676,REGIME
AboveEMA200_BullRibbon,10,ALL,LARGE,30.976898323527227,0.0089356989735031,REGIME
LowVol,20,RANGE,LARGE,30.79943779398443,0.0166961852939598,REGIME
RSI_Overbought,20,BULL,ALL,30.73419094488664,0.0311449176576111,REGIME
BearishRibbon,10,BULL,ALL,30.661426264280383,0.0274424189344764,REGIME
RSI_Extreme_Oversold,1,BEAR,ALL,30.549034328798417,0.0148931940099972,REGIME
LowVol,20,ALL,LARGE,30.50998516331061,0.016753973569848,REGIME
RSI_Oversold,5,BEAR,SMALL,30.411485800472924,0.0214249209369517,REGIME
AboveEMA200,10,RANGE,ALL,30.32864629923909,0.0035383613950769,REGIME
HighVol,20,BULL,SMALL,30.196416236817267,0.0232715192096664,REGIME
BB_Narrow,20,RANGE,ALL,30.134188396537084,0.0122811150289461,REGIME
Momentum_20d_Neg,10,BEAR,MID,30.025490838851837,0.0321429069211738,REGIME
Momentum_5d_Neg,10,BEAR,MID,29.91449881041845,0.0316694466422136,REGIME
BearishRibbon,10,BEAR,MID,29.67301162212072,0.0319528558432939,REGIME
HighVol,10,BEAR,MID,29.524123418905585,0.0296029341013181,REGIME
RSI_Oversold,1,BEAR,LARGE,29.48198488647261,0.0129063142732938,REGIME
Oversold_After2Down,1,BEAR,ALL,29.419298790251357,0.0131673371905464,REGIME
HighVol,20,RANGE,LARGE,29.35994882715285,0.0199670720217999,REGIME
AboveEMA200,10,BULL,ALL,29.269664033322176,0.0167865862652433,REGIME
Momentum_5d_Neg,10,ALL,LARGE,28.91378847017404,0.0127076083273607,REGIME
BB_Narrow,20,ALL,LARGE,28.784589045933075,0.0211547334557385,REGIME
Far_From_High,5,BEAR,LARGE,28.756497623502103,0.0267952073577347,REGIME
After2Down,10,BEAR,LARGE,28.73324178489816,0.0500947433959686,REGIME
Far_From_High,10,ALL,LARGE,28.500980369663147,0.0171347656269472,REGIME
AboveEMA200_BullRibbon,10,RANGE,LARGE,28.428246103100804,0.0084854498179655,REGIME
