category,strategy,hold_period,original_t_stat,train_mean_return,train_n_samples,train_t_stat,train_sharpe,train_p_value,test_mean_return,test_n_samples,test_t_stat,test_sharpe,test_p_value,degradation_pct,t_stat_preserved
REL_STRENGTH,BotRS5_Bot10_H1,1,8.100915102439734,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,TopRS5_Top10_H20,20,3.331130875805629,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS5_Bot20_H1,1,10.184372679926252,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,TopRS5_Top20_H20,20,3.571087142856729,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS10_Bot10_H1,1,7.803719043334738,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,TopRS10_Top10_H20,20,3.6763514363042313,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS10_Bot20_H1,1,9.89637130513699,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,TopRS10_Top20_H20,20,3.7751142348614697,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS20_Bot10_H1,1,5.432974301197681,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,BotRS20_Bot10_H5,5,7.06372852516017,0.00043090498353569063,738187,4.012265380122758,0.07413217197132832,6.014475896454208e-05,0.026638803892484898,1321004,1.569454155243914,0.02167688323628204,0.11654239329458127,60.883590526709,False
REL_STRENGTH,TopRS20_Top10_H10,10,3.0455747012165086,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
REL_STRENGTH,BotRS20_Bot10_H10,10,4.192852446315412,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
REL_STRENGTH,TopRS20_Top10_H20,20,3.8807811763129534,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS20_Bot20_H1,1,8.471713206335133,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
REL_STRENGTH,BotRS20_Bot20_H5,5,13.784319092332856,0.00043090498353569063,738187,4.012265380122758,0.07413217197132832,6.014475896454208e-05,0.026638803892484898,1321004,1.569454155243914,0.02167688323628204,0.11654239329458127,60.883590526709,False
REL_STRENGTH,TopRS20_Top20_H10,10,3.093293434081639,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
REL_STRENGTH,BotRS20_Bot20_H10,10,14.330192303117068,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
REL_STRENGTH,TopRS20_Top20_H20,20,3.945447342310789,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
REL_STRENGTH,BotRS20_Bot20_H20,20,9.426147203637086,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
XSECTION,XSMom60_TopDecile_H5,5,7.69160349979517,0.00043090498353569063,738187,4.012265380122758,0.07413217197132832,6.014475896454208e-05,0.026638803892484898,1321004,1.569454155243914,0.02167688323628204,0.11654239329458127,60.883590526709,False
XSECTION,XSMom60_TopDecile_H10,10,12.39484187891112,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
XSECTION,XSMom60_TopDecile_H20,20,16.452747731884347,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
XSECTION,XSMom60_BotDecile_H20,20,3.041776053576533,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
XSECTION,XSMom120_TopDecile_H5,5,14.594214512461498,0.00043090498353569063,738187,4.012265380122758,0.07413217197132832,6.014475896454208e-05,0.026638803892484898,1321004,1.569454155243914,0.02167688323628204,0.11654239329458127,60.883590526709,False
XSECTION,XSMom120_TopDecile_H10,10,22.68760108608012,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
XSECTION,XSMom120_BotDecile_H10,10,3.070193664570741,0.0009852066915336396,711007,6.6309333439316624,0.12483546819917515,3.3380853636799657e-11,0.041917299923223614,1294548,1.997698472797697,0.0278721922525141,0.04574956876206859,69.8730424635334,False
XSECTION,XSMom120_TopDecile_H20,20,26.724092879056,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
