sector,strategy,hold,n,mean,t_stat,significant
HLTH,LowVol,fwd_20,820,-0.0027234667643142763,-0.9749569428642249,False
HLTH,Momentum_Pos,fwd_5,5062,0.0002732325238732201,0.5122631523930228,False
HLTH,Momentum_Pos,fwd_20,4839,0.0003861086840040029,0.359702883278836,False
HLTH,Oversold_LowVol,fwd_5,87,0.013795675760554774,2.7343345358001985,False
HLTH,Oversold_LowVol,fwd_20,87,0.037184933268497214,5.267947700599829,True
HLTH,Near52High_LowVol,fwd_5,208,-0.001422058419636638,-0.6940070308142186,False
HLTH,Near52High_LowVol,fwd_20,194,0.006493952792296228,1.3874442170822967,False
INDU,AboveEMA200,fwd_5,6155,0.0025368817675025337,5.5990519536994325,True
INDU,AboveEMA200,fwd_20,5963,0.0124352873040127,13.877111566918373,True
INDU,RSI_Oversold,fwd_5,898,0.007787462360702995,6.717697461501299,True
INDU,RSI_Oversold,fwd_20,881,0.017967002666491108,8.000906611465544,True
INDU,Near52High,fwd_5,1231,0.0005870000927324199,0.6169340912312467,False
INDU,Near52High,fwd_20,1149,0.0036409080805272524,1.9545953734674726,False
INDU,LowVol,fwd_5,1139,0.003423169758924086,3.460567418788457,True
INDU,LowVol,fwd_20,1070,0.017745761162192376,9.410062092680596,True
INDU,Momentum_Pos,fwd_5,5372,0.0030384346512574057,6.08000536972557,True
INDU,Momentum_Pos,fwd_20,5193,0.011483239748498597,12.182079427727974,True
INDU,Oversold_LowVol,fwd_5,43,0.010666120531804876,3.0371774007751995,True
INDU,Oversold_LowVol,fwd_20,41,0.005393984445905147,0.9571018076473897,False
INDU,Near52High_LowVol,fwd_5,438,-0.0022679868285576067,-1.4845935258432486,False
INDU,Near52High_LowVol,fwd_20,410,0.006052581802426779,2.239467173596263,False
MATL,AboveEMA200,fwd_5,4692,0.0004998439370812223,0.8669016948648344,False
MATL,AboveEMA200,fwd_20,4578,0.0008312668680901832,0.7312145503612989,False
MATL,RSI_Oversold,fwd_5,1241,0.0017598398094013314,1.1463082081255258,False
MATL,RSI_Oversold,fwd_20,1226,0.00808310149305874,2.702161585195215,False
MATL,Near52High,fwd_5,600,-0.0005382311032019002,-0.38414606077370106,False
MATL,Near52High,fwd_20,554,0.0031551482708247714,1.1160358855585855,False
MATL,LowVol,fwd_5,871,-0.005525393303958934,-2.6131651841469345,False
MATL,LowVol,fwd_20,833,-0.010875105015123732,-3.1839732122852147,True
MATL,Momentum_Pos,fwd_5,4808,-0.0016994180461638486,-2.5622004539948033,False
MATL,Momentum_Pos,fwd_20,4634,-0.003256124826623967,-2.501468909110243,False
MATL,Oversold_LowVol,fwd_5,60,0.0023378606032910163,0.3604225177652485,False
MATL,Oversold_LowVol,fwd_20,58,-0.05387800429560677,-2.5813169255736677,False
MATL,Near52High_LowVol,fwd_5,242,0.0029577249474158525,1.508711085423524,False
MATL,Near52High_LowVol,fwd_20,229,0.0063964005366826575,1.6001676792221895,False
REAL,AboveEMA200,fwd_5,5123,-0.0010380720751019977,-2.4934756637173234,False
REAL,AboveEMA200,fwd_20,5060,0.0009416241134592398,1.1961892811559443,False
REAL,RSI_Oversold,fwd_5,976,0.0015582554235202186,1.4591165866646745,False
REAL,RSI_Oversold,fwd_20,942,-0.007488191173568893,-3.3346369069055637,True
REAL,Near52High,fwd_5,507,-0.004656239303103156,-3.1600021451809925,True
REAL,Near52High,fwd_20,450,0.002759674370051349,1.071456878271896,False
REAL,LowVol,fwd_5,1406,-0.003115909413245659,-3.8551359622060817,True
REAL,LowVol,fwd_20,1273,-0.014877027007451974,-9.54210526518915,True
REAL,Momentum_Pos,fwd_5,4830,1.3863291368857746e-05,0.03308954169661578,False
REAL,Momentum_Pos,fwd_20,4716,0.0024476105321069577,2.9404771151254345,False
REAL,Oversold_LowVol,fwd_5,109,0.0040257904354775945,1.9658181834932433,False
REAL,Oversold_LowVol,fwd_20,96,-0.017041327744851273,-3.4263855724495027,True
REAL,Near52High_LowVol,fwd_5,202,-0.002632564043625358,-1.2405843147416153,False
REAL,Near52High_LowVol,fwd_20,158,0.0053233995930988464,1.3105326427820778,False
STPL,AboveEMA200,fwd_5,4898,0.00048684387053560865,1.2245460505324894,False
STPL,AboveEMA200,fwd_20,4827,0.0033260143830709313,4.185408167766569,True
STPL,RSI_Oversold,fwd_5,1050,0.002111276541068219,2.460210148840592,False
STPL,RSI_Oversold,fwd_20,1042,0.002786457315477369,1.7307277143151594,False
STPL,Near52High,fwd_5,564,-0.0022448843962698476,-1.600319965987851,False
STPL,Near52High,fwd_20,541,-0.008099676897505386,-3.114422398999319,True
STPL,LowVol,fwd_5,711,-0.0015142939413410703,-1.4617981007870127,False
STPL,LowVol,fwd_20,632,-0.007414863542492536,-4.018684057832819,True
STPL,Momentum_Pos,fwd_5,4342,-5.9668680712215625e-05,-0.1404417718381415,False
STPL,Momentum_Pos,fwd_20,4207,-0.0013632322491074675,-1.6882942658210014,False
STPL,Oversold_LowVol,fwd_5,88,0.00018949016705761823,0.05874959173662794,False
STPL,Oversold_LowVol,fwd_20,86,0.00813410315895889,1.3666944501049483,False
STPL,Near52High_LowVol,fwd_5,59,-0.009672801058458863,-2.718721412311107,False
STPL,Near52High_LowVol,fwd_20,59,-0.0183787094614482,-4.384493061032696,True
TECH,AboveEMA200,fwd_5,5183,0.0042914866896909196,5.571655962350248,True
TECH,AboveEMA200,fwd_20,5017,0.023039120623776024,14.293432061312165,True
TECH,RSI_Oversold,fwd_5,894,0.010396788982071888,4.842340047386567,True
