strategy,hold,regime,train_t_mean,train_t_std,n_windows,test_t_mean,test_t_std,train_mean,test_mean,train_n_total,test_n_total,test_mean_net,same_direction,win_rate,p_value,rank,bh_threshold,bh_significant,validated,validated_bh,final_validated
BB_Below_Mid,10,BEAR,5.083304984498721,5.799021406260505,9,4.4651958334184,7.478871680664502,0.016733935213504463,0.022667293568257602,5223,1815,0.0216672935682576,True,0.7777777777777778,8.492139967897216e-06,16,0.0014109347442680777,True,True,True,True
AboveEMA200,10,ALL,6.219420811619849,9.873914505169704,21,4.377915667707301,8.21384513884804,0.0022880367076773267,0.002188706390276763,115025,29578,0.001188706390276763,True,0.6666666666666666,1.2023036983555002e-05,20,0.001763668430335097,True,True,True,True
RSI_Oversold_30,5,BEAR,5.336857117934643,5.806576708325897,8,4.219382548022245,4.72877712273309,0.009474978792634496,0.02121641731986164,2168,668,0.020216417319861638,True,0.875,2.788809878939702e-05,23,0.0020282186948853615,True,True,True,True
RSI_Oversold_25,5,BEAR,7.892871926413579,2.658891517180237,5,4.135567574478906,6.31000929363547,0.023100357174183222,0.014124896440091152,976,315,0.013124896440091152,True,0.6,4.5498430976342874e-05,27,0.002380952380952381,True,True,True,True
AboveEMA200,10,RANGE,6.176442918130262,8.828474186531686,21,4.095641483741501,7.648019009928993,0.0025335633411967726,0.0013964366260109575,89158,23224,0.0003964366260109575,True,0.6666666666666666,4.224270137509478e-05,24,0.0021164021164021165,True,True,True,True
BB_Below_Mid,5,BEAR,4.801822496117008,5.406264867489166,9,4.0927169706639,5.495565132764317,0.010525667314129785,0.016078493398850688,5223,1815,0.015078493398850687,True,0.7777777777777778,4.450518453369412e-05,25,0.002204585537918871,True,True,True,True
Mom_20d_Neg,10,BEAR,5.344229685248372,3.8738084010360927,10,3.968061908009743,6.168727095077067,0.015527522658686638,0.019142984580756545,8534,2744,0.018142984580756544,True,0.7,7.431701237758936e-05,28,0.0024691358024691358,True,True,True,True
AboveEMA100,10,ALL,5.438454584400763,9.305192266535895,21,3.8262605145896176,7.813056301748287,0.0020874759017745844,0.0017004167606111346,111972,28631,0.0007004167606111346,True,0.6666666666666666,0.0001303808501875725,30,0.0026455026455026454,True,True,True,True
BullishRibbon,20,ALL,5.922429521802118,13.176657828646157,21,3.7706229919103347,12.728679921636303,0.002738144373189024,0.0016471591442705372,86872,22280,0.0006471591442705372,True,0.6666666666666666,0.0001632610675885715,33,0.00291005291005291,True,True,True,True
Mom_20d_Neg,5,BEAR,3.896288785158582,4.487954928140733,10,3.6301566668072853,5.48847150711631,0.008393772578459765,0.014484705703656748,8534,2744,0.013484705703656747,True,0.7,0.0002884278702723897,38,0.003350970017636684,True,True,True,True
ZScore_Low_1.5,5,BEAR,4.7773122752133625,4.493551915529274,8,3.6274914780033463,4.710331528534106,0.012846382742572476,0.014696730382834974,2679,871,0.013696730382834973,True,0.75,0.0003028507289180027,39,0.0034391534391534392,True,True,True,True
RSI_Oversold_20,5,BEAR,6.158405011250148,0.7755302393910686,2,3.471668637169473,0.45966822764434184,0.038149103985867974,0.018871415494933822,129,103,0.01787141549493382,True,1.0,0.0007598709668612535,44,0.0038800705467372134,True,False,True,True
Mom_20d_Pos,20,RANGE,5.241329698141075,8.16595636269403,21,3.3483263977905886,8.737024153164919,0.004468094873514174,0.0045553934684423375,73862,19132,0.0035553934684423374,True,0.6666666666666666,0.0008145804893175956,45,0.003968253968253968,True,False,True,True
Near52High_LowVol,20,ALL,4.272341910575807,7.923319850567606,20,3.3392004493082323,10.125584121800387,0.002196987629027176,0.002804068167435939,30587,9246,0.001804068167435939,True,0.55,0.000843521690357063,46,0.004056437389770723,True,False,True,True
Mom_20d_Pos,20,ALL,5.818570042287054,12.225863012522577,21,3.3351380517345914,11.033617315701877,0.003595727382703121,0.0022975741618658685,103105,25876,0.0012975741618658685,True,0.6190476190476191,0.0008537688873344607,48,0.004232804232804233,True,False,True,True
AboveEMA200_BullRibbon,10,ALL,4.851118455101639,7.739072896314764,21,3.181030947119006,7.264300790276743,0.002025084388136259,0.0011725847913093576,80268,20692,0.0001725847913093576,True,0.6666666666666666,0.0014696852823852247,53,0.004673721340388007,True,False,True,True
Near52High_LowVol,20,RANGE,3.6566272656395937,7.796861096684049,20,3.107456097594448,9.070062109174891,0.0017905246270569005,0.003407126910778011,25245,7714,0.002407126910778011,True,0.6,0.0018939092879237673,58,0.0051146384479717815,True,False,True,True
ZScore_Low_1.5,10,BEAR,5.005572849921252,5.539586828395461,8,3.0928731614774656,5.383125404242849,0.020849529318527377,0.019270940297105216,2679,871,0.018270940297105215,True,0.75,0.002045561492468373,60,0.005291005291005291,True,False,True,True
BB_Below_Mid,20,BEAR,2.629052799108589,5.127220160423115,9,3.0856786005955152,8.436873298096456,0.012241449404713091,0.019581143351962278,5223,1815,0.018581143351962277,True,0.6666666666666666,0.0020615667777501567,61,0.005379188712522046,True,False,True,True
Mom_5d_Pos,20,RANGE,4.836960707021484,5.928309515844006,21,3.08024044770011,6.629838934549658,0.004366333711157966,0.004755445171328516,72182,18499,0.003755445171328516,True,0.8095238095238095,0.0020713688631599503,62,0.005467372134038801,True,False,True,True
ZScore_Low_2,20,ALL,4.634211317831165,4.644451378070722,21,3.0570468233505927,3.8876976133183625,0.012993290733385917,0.01833117244238266,9051,2156,0.01733117244238266,True,0.8095238095238095,0.002262745879356709,63,0.005555555555555556,True,False,True,True
BB_Below_Lower,20,ALL,4.634211317831165,4.644451378070722,21,3.0570468233505927,3.8876976133183625,0.012993290733385917,0.01833117244238266,9051,2156,0.01733117244238266,True,0.8095238095238095,0.002262745879356709,64,0.005643738977072311,True,False,True,True
AboveEMA200,5,ALL,4.343508790088076,6.454875131246239,21,3.0432064794237,5.398176130535293,0.0012333663248276928,0.0012140864815105216,115025,29578,0.0002140864815105216,True,0.6666666666666666,0.0023427703232536956,65,0.005731922398589065,True,False,True,True
Mom_5d_Neg,20,BEAR,2.905779437002347,3.688196329729498,9,2.966157495736807,6.225406806111652,0.013253060688921455,0.018679119298671235,6186,2156,0.017679119298671234,True,0.6666666666666666,0.0030486139175716076,70,0.006172839506172839,True,False,True,True
Near52High_LowVol,20,BULL,3.7929988346403625,5.531360607071905,15,2.9521620292749895,5.381038591883179,0.00531635283060706,0.009493006358488022,3785,1400,0.008493006358488021,True,0.7333333333333333,0.0032081785311846023,72,0.006349206349206349,True,False,True,True
Mom_5d_Pos,20,ALL,5.352995555874033,7.942630405083007,21,2.894071605537244,7.928850730748895,0.004134232670586514,0.0033353772018751495,99205,24849,0.0023353772018751494,True,0.6190476190476191,0.0038061213780413716,75,0.006613756613756613,True,False,True,True
Mom_5d_Neg,10,BEAR,3.823467634381772,3.5807258783636766,9,2.814742896731828,5.333488369024643,0.013814088071794755,0.01777805344503243,6186,2156,0.01677805344503243,True,0.7777777777777778,0.0049259789244173735,79,0.0069664902998236335,True,False,True,True
AboveEMA50,10,ALL,4.016720261471718,7.881882170740908,21,2.8059417937731572,7.256059097481971,0.0016971418492465215,0.0011402285647642172,107277,27257,0.00014022856476421722,True,0.5714285714285714,0.005020531617328183,80,0.007054673721340388,True,False,True,True
Mom_20d_Neg,20,BEAR,4.091331133494957,7.23446755701411,10,2.7992328692322035,10.544148059912649,0.015279215415661815,0.0154096237441665,8534,2744,0.014409623744166499,True,0.6,0.005158240686492288,82,0.007231040564373898,True,False,True,True
BelowEMA50,5,BEAR,3.066271640996191,3.527168174225447,10,2.791949353860744,4.531522932312401,0.007456183257247469,0.01181927836908178,8474,2630,0.01081927836908178,True,0.8,0.005277027609416285,83,0.007319223985890653,True,False,True,True
BearishRibbon,10,BEAR,4.9688495512192095,2.6351730815398486,10,2.6975699594095994,5.892673196110376,0.016102794373673856,0.01114744694671512,7525,2263,0.01014744694671512,True,0.7,0.007036615783736044,89,0.007848324514991182,True,False,True,True
BelowEMA50,10,BEAR,4.391579242974617,2.655149630154266,10,2.6826278057997013,4.928366814477083,0.014374458818497231,0.014797394703541281,8474,2630,0.013797394703541282,True,0.7,0.007350351316746773,92,0.008112874779541446,True,False,True,True
BearishRibbon,5,BEAR,3.7888268399865614,3.8949060056571336,10,2.6743324850201304,4.943977187020538,0.00981590452859128,0.010376648418298115,7525,2263,0.009376648418298116,True,0.6,0.007541707349698168,93,0.0082010582010582,True,False,True,True
BB_Below_Lower,10,ALL,3.4812858454838174,4.405201359627304,21,2.6455748373576173,2.9921318429505117,0.007458113362669193,0.012690557793788793,9051,2156,0.011690557793788792,True,0.8571428571428571,0.00821449565606125,94,0.008289241622574956,True,False,True,True
ZScore_Low_2,10,ALL,3.4812858454838174,4.405201359627304,21,2.6455748373576173,2.9921318429505117,0.007458113362669193,0.012690557793788793,9051,2156,0.011690557793788792,True,0.8571428571428571,0.00821449565606125,95,0.00837742504409171,True,False,True,True
