strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom3_H3_T5,3,3,0.95,475,-0.0007565167553066848,-0.0011422009658330005,0.4631578947368421,-0.9031119929047314,0.36692517759683796
Mom1_H2_T5,1,2,0.95,480,-0.0001564287501920172,-0.000589970416858684,0.45625,-0.9281060897964407,0.35381997037270074
Mom15_H10_T19,15,10,0.8,500,-0.0010796869998903377,-0.0014850869998903379,0.446,-0.9309100631445104,0.3523502329634537
Mom15_H3_T19,15,3,0.8,499,-0.0003761308519229884,-0.0007785356615422266,0.3366733466933868,-0.9463170198890586,0.3444458446841441
Mom2_H1_T19,2,1,0.8,500,0.00017428844412544666,-0.0002459115558745534,0.368,-0.9715246958583992,0.33175774421520265
Mom15_H30_T5,15,30,0.95,465,-0.004410005162755291,-0.004820542797163894,0.5225806451612903,-0.97203142110367,0.3315413563403463
Mom2_H3_T5,2,3,0.95,469,-0.0006486482263662322,-0.0010480085675176188,0.5287846481876333,-0.983470670458359,0.3258839910469469
Mom3_H3_T19,3,3,0.8,499,2.190165596855057e-05,-0.00039753722178696043,0.46092184368737477,-1.010295432321681,0.31284438200673814
Mom30_H15_T19,30,15,0.8,500,-0.001796428175277638,-0.0022284281752776385,0.458,-1.1140596646910212,0.2657899016920506
Mom20_H3_T19,20,3,0.8,500,-0.00021164580086595246,-0.0006096458008659525,0.372,-1.1201384015973965,0.2631936210731662
Mom10_H20_T5,10,20,0.95,468,-0.0033869629749189918,-0.0038087578467138634,0.5299145299145299,-1.1384127974029985,0.2555318184481357
Mom10_H10_T19,10,10,0.8,499,-0.0015815764627312718,-0.0020194522142342776,0.4709418837675351,-1.1556763854620957,0.24836770445273001
Mom20_H3_T30,20,3,0.7,499,-0.00012069722066716706,-0.0005281120503264857,0.39879759519038077,-1.158512098314661,0.24721036661853188
Mom5_H2_T5,5,2,0.95,477,-0.0005961834612364116,-0.0010165188910058033,0.42348008385744235,-1.2221696106607356,0.22224834749301808
Mom30_H30_T19,30,30,0.8,499,-0.004406524908329638,-0.004820552964441863,0.49298597194388777,-1.247657850052962,0.21274273965036808
Mom3_H5_T30,3,5,0.7,500,-0.00038165848238677733,-0.0007968584823867777,0.472,-1.3125384862622134,0.18994187594724118
Mom1_H5_T9,1,5,0.9,499,-0.0010151419979573676,-0.0014299716572760055,0.4909819639278557,-1.3158825269654888,0.18881888293269378
Mom30_H20_T19,30,20,0.8,499,-0.0033185387273173077,-0.0037353723946519763,0.4709418837675351,-1.3171368648143063,0.18839846962541687
Mom10_H3_T9,10,3,0.9,499,-0.0007131138102463438,-0.00113475709681949,0.43286573146292584,-1.3453472727416762,0.17912537293637174
