strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
After_25pct_DN_H3,5.248221815504274,4820,1.011884952858995,False,GRAVITY_UP,,
After_25pct_UP_H5,1.5257236010649915,9730,0.9897415922703943,False,MOMENTUM_UP,,
After_25pct_DN_H5,5.286878428428331,4783,1.0115144873714894,False,GRAVITY_UP,,
After_25pct_UP_H10,3.438720589628613,9621,1.4037812288450342,False,MOMENTUM_UP,,
After_25pct_DN_H10,15.49303510929661,4726,1.7364052376753734,False,GRAVITY_UP,,
After_25pct_UP_H20,4.424166327471345,9462,1.7159750378565846,False,MOMENTUM_UP,,
After_25pct_DN_H20,12.735360010504598,4650,1.7138427568284078,False,GRAVITY_UP,,
After_25pct_UP_H40,7.582048242328409,9136,2.343623699208668,False,MOMENTUM_UP,,
After_25pct_DN_H40,26.10328001353781,4401,2.5399912838907777,False,GRAVITY_UP,,
After_30pct_UP_H1,-0.016511315664441934,6762,-3.368632070208052,True,GRAVITY_DOWN,,
After_30pct_DN_H1,21.611705133240452,2898,1.0021080136916494,False,GRAVITY_UP,,
After_30pct_UP_H2,-0.020593717382944913,6753,-3.555972666547118,True,GRAVITY_DOWN,,
After_30pct_DN_H2,7.870526838855848,2890,1.0109574238926342,False,GRAVITY_UP,,
After_30pct_UP_H3,-0.023136805972859803,6736,-3.34777401853205,True,GRAVITY_DOWN,,
After_30pct_DN_H3,8.763378367782078,2878,1.0088692599289175,False,GRAVITY_UP,,
After_30pct_UP_H5,2.2150872783701745,6709,0.9907913918842158,False,MOMENTUM_UP,,
After_30pct_DN_H5,8.84552994451405,2853,1.0094823184777868,False,GRAVITY_UP,,
After_30pct_UP_H10,4.988423625862759,6634,1.4042080032816624,False,MOMENTUM_UP,,
After_30pct_DN_H10,26.00835604894498,2813,1.7352667788817318,False,GRAVITY_UP,,
After_30pct_UP_H20,6.403972973046001,6536,1.7158481579080391,False,MOMENTUM_UP,,
After_30pct_DN_H20,21.33524454049738,2770,1.710587771888762,False,GRAVITY_UP,,
After_30pct_UP_H40,10.969942542517332,6318,2.3451883873724912,False,MOMENTUM_UP,,
After_30pct_DN_H40,44.01084483471858,2609,2.539827938691683,False,GRAVITY_UP,,
Uptrend5_10pct_H1,-0.00015202221738024055,234347,-0.5955023151626662,False,REVERSAL,INERTIA,
Downtrend5_10pct_H1,0.005237067170841225,243884,7.206514723031781,True,REVERSAL,INERTIA,
Uptrend5_10pct_H5,0.07423395045482609,232962,1.0376498272578358,False,INERTIA,INERTIA,
Downtrend5_10pct_H5,0.2735439587052134,240482,1.05252737596416,False,REVERSAL,INERTIA,
Uptrend5_10pct_H10,0.07916960881676575,229871,1.091908160128248,False,INERTIA,INERTIA,
Downtrend5_10pct_H10,0.3395508621866444,238876,1.8732057755123188,False,REVERSAL,INERTIA,
Uptrend5_10pct_H20,0.38348354873262275,222580,2.4713749972690686,False,INERTIA,INERTIA,
Downtrend5_10pct_H20,0.8269648051539875,234284,2.406245651361124,False,REVERSAL,INERTIA,
Uptrend5_10pct_H40,0.46268988649637743,215021,2.9889481513891805,False,INERTIA,INERTIA,
Downtrend5_10pct_H40,0.9014982902974731,217918,3.552754761320809,True,REVERSAL,INERTIA,
Uptrend5_20pct_H1,-0.0018348570511224208,79324,-3.0781153836126056,True,REVERSAL,INERTIA,
Downtrend5_20pct_H1,0.012556731506309477,60522,4.472798365874841,True,REVERSAL,INERTIA,
Uptrend5_20pct_H5,0.21051548525102443,78875,0.9963044984302565,False,INERTIA,INERTIA,
Downtrend5_20pct_H5,1.0736005637131274,59523,1.022473245717016,False,REVERSAL,INERTIA,
Uptrend5_20pct_H10,0.21328094371817957,77862,0.9964027134832703,False,INERTIA,INERTIA,
