strategy,fast,slow,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
MACD8_26_7_H15,8,26,7,15,998,0.006409633122772458,0.6282565130260521,5.0607459121284135,4.970917913316111e-07
MACD8_26_11_H10,8,26,11,10,996,0.0043692492184700315,0.641566265060241,5.035210533388866,5.664558859400534e-07
MACD20_30_11_H20,20,30,11,20,985,0.00865727411596003,0.6121827411167513,5.006608955063973,6.562049983450109e-07
MACD12_35_7_H10,12,35,7,10,995,0.0045705647503844135,0.6221105527638191,5.00351696366886,6.654431599133177e-07
MACD8_21_9_H15,8,21,9,15,998,0.006520110220597449,0.6372745490981964,4.976437795128897,7.625876620120984e-07
MACD8_35_11_H10,8,35,11,10,996,0.004478592685973913,0.6234939759036144,4.894499284119779,1.1492247974600268e-06
MACD8_35_9_H5,8,35,9,5,996,0.002766468897570589,0.6144578313253012,4.83668432607839,1.5290116996217013e-06
MACD8_35_7_H5,8,35,7,5,998,0.0026232775451032185,0.6002004008016032,4.820137158112276,1.6578243702360282e-06
MACD8_26_9_H15,8,26,9,15,998,0.006446963246578507,0.6442885771543087,4.817130756161914,1.6824113897930862e-06
MACD8_30_11_H10,8,30,11,10,995,0.004428882380455716,0.6110552763819096,4.815841251395416,1.6937900890572932e-06
MACD8_35_7_H15,8,35,7,15,998,0.0062793143880207946,0.6332665330661322,4.775108497183117,2.0650556986973766e-06
MACD12_21_7_H15,12,21,7,15,998,0.006373328121856597,0.6462925851703407,4.769986754665627,2.1170549242524535e-06
MACD8_30_7_H15,8,30,7,15,998,0.0060714325468639,0.6342685370741483,4.763772197210359,2.181841481877189e-06
MACD8_21_11_H15,8,21,11,15,998,0.006483250928142568,0.6382765531062125,4.737519248821973,2.4771896891772005e-06
MACD20_21_7_H10,20,21,7,10,994,0.004358563452898672,0.5925553319919518,4.661331543781178,3.569968839049811e-06
MACD8_30_9_H5,8,30,9,5,996,0.002834628970234417,0.6124497991967871,4.659844237006566,3.59439368901351e-06
MACD16_26_7_H10,16,26,7,10,995,0.004341431775700523,0.5939698492462312,4.659297370913232,3.604205352103445e-06
MACD12_21_9_H10,12,21,9,10,996,0.004237361020209449,0.6315261044176707,4.655825672629341,3.6636961528657204e-06
MACD12_30_11_H3,12,30,11,3,993,0.002179817947209481,0.5730110775427996,4.650544020408362,3.7581510246801133e-06
MACD16_21_7_H10,16,21,7,10,996,0.004148349757359591,0.6244979919678715,4.645344445173166,3.850540456524298e-06
MACD16_30_7_H10,16,30,7,10,994,0.004386980183598246,0.596579476861167,4.64020894609235,3.946377490432852e-06
MACD16_30_7_H5,16,30,7,5,994,0.002784507963148785,0.5865191146881288,4.6102963274546935,4.54518055018355e-06
MACD12_35_11_H3,12,35,11,3,991,0.0022324825965141398,0.5872855701311807,4.609134592264474,4.57178479530481e-06
MACD8_21_7_H5,8,21,7,5,998,0.002413365646707009,0.6122244488977956,4.598237242266631,4.808145608526017e-06
MACD8_35_9_H15,8,35,9,15,996,0.00604328974582463,0.6134538152610441,4.56916069814981,5.511244407120847e-06
MACD16_30_7_H15,16,30,7,15,994,0.0063958074146727335,0.6217303822937625,4.546753628378302,6.119564506930846e-06
MACD12_35_7_H15,12,35,7,15,995,0.0060883911731574635,0.6231155778894473,4.543595056390085,6.209406384582434e-06
MACD8_26_9_H5,8,26,9,5,998,0.0025644711501457847,0.5981963927855711,4.538232077193451,6.363918340310734e-06
MACD8_35_11_H5,8,35,11,5,996,0.0026161877656108484,0.6034136546184738,4.534718657285427,6.47005860870523e-06
MACD12_30_7_H15,12,30,7,15,996,0.00601442401008937,0.6224899598393574,4.517528590355665,7.00650261829882e-06
MACD8_35_11_H15,8,35,11,15,996,0.006036618525905347,0.6164658634538153,4.501760512336026,7.535830057410041e-06
MACD8_30_9_H15,8,30,9,15,996,0.006155487165766269,0.642570281124498,4.500925319682307,7.564909352064277e-06
MACD8_30_7_H5,8,30,7,5,998,0.0024731594155197635,0.6032064128256514,4.4674194441163975,8.822407415248556e-06
MACD12_30_7_H5,12,30,7,5,996,0.002539982179814469,0.606425702811245,4.459339712293521,9.156754203307983e-06
MACD12_30_9_H10,12,30,9,10,994,0.00411975809941,0.5925553319919518,4.4551135749819295,9.337377905007872e-06
MACD20_21_7_H15,20,21,7,15,994,0.006141895080988655,0.6207243460764588,4.4437875133624205,9.832785066183457e-06
MACD12_35_7_H5,12,35,7,5,995,0.002545411044974589,0.6,4.4237851397444325,1.0768600985533326e-05
