ticker,pattern,gross,net
FOR,GapUp_2pct,-0.019179985914462204,-0.019479985914462206
ETD,GapUp_2pct,-0.0022063987911396478,-0.0025063987911396477
FSP,GapUp_2pct,0.004706114554242413,0.004406114554242413
CCFE,GapUp_2pct,0.011944289640857308,0.010944289640857308
OVID,GapUp_2pct,0.007067590097589852,0.006767590097589852
INDE,GapUp_2pct,4.558833190459167e-05,-0.0009544116680954084
KVYO,GapUp_2pct,0.0033024850068098964,0.0032024850068098965
ARE,GapUp_2pct,-0.0046797389491675225,-0.004779738949167523
BAFN,GapUp_2pct,-0.01060710855758276,-0.01160710855758276
GBFH,GapUp_2pct,0.00900213349930879,0.008502133499308789
PAG,GapUp_2pct,0.0049800802819047665,0.0046800802819047665
HVT,GapUp_2pct,-0.011193236919950491,-0.011493236919950491
AGOX,GapUp_2pct,0.009990753933819499,0.009490753933819499
MAYS,GapUp_2pct,-0.00802650247777273,-0.00902650247777273
MARO,GapUp_2pct,-0.05092578582906683,-0.05122578582906683
EFOI,GapUp_2pct,0.02008294216447401,0.01978294216447401
PCGpE,GapUp_2pct,-0.006893913929691209,-0.007893913929691208
SE,GapUp_2pct,0.02040272210324163,0.02030272210324163
INTU,GapUp_2pct,0.007617060365943764,0.007517060365943764
OII,GapUp_2pct,0.0037342198103062045,0.0034342198103062046
AMBR,GapUp_2pct,-4.9303183204755124e-05,-0.0003493031832047551
MBX,GapUp_2pct,0.018032975738870985,0.017732975738870983
SGMT,GapUp_2pct,0.05311426946641741,0.05281426946641741
TKR,GapUp_2pct,0.007745258792263887,0.007445258792263887
LRE,GapUp_2pct,-0.020701847365329266,-0.021001847365329267
TUR,GapUp_2pct,0.011302129684112466,0.011002129684112466
SEVN,GapUp_2pct,0.0011528447202566628,0.0006528447202566628
CODA,GapUp_2pct,0.010340224583247416,0.009840224583247415
WNTR,GapUp_2pct,-0.020764956603903175,-0.021064956603903177
GMGI,GapUp_2pct,0.008527893483286052,0.008227893483286052
FUN,GapUp_2pct,-0.01986306445161898,-0.01996306445161898
COHN,GapUp_2pct,0.021256335703239943,0.020756335703239943
BSBR,GapUp_2pct,0.009015951582454858,0.008715951582454858
TRN,GapUp_2pct,0.014138956036884856,0.013838956036884856
BERZ,GapUp_2pct,-0.04057703691422436,-0.04087703691422436
MMTM,GapUp_2pct,0.02176616634533548,0.020766166345335478
IE,GapUp_2pct,0.01603282820900924,0.015732828209009238
HAPS,GapUp_2pct,0.0006069112786501093,-0.0003930887213498907
MSFU,GapUp_2pct,0.01157486380620731,0.01127486380620731
SSP,GapUp_2pct,-0.020351553518341305,-0.020451553518341305
BCOR,GapUp_2pct,0.00765859744517192,0.00665859744517192
JSML,GapUp_2pct,0.013116293161221638,0.012616293161221637
SLAI,GapUp_2pct,-0.01762629361514746,-0.01792629361514746
DRIV,GapUp_2pct,0.01961093621909732,0.01911093621909732
FSBC,GapUp_2pct,0.020386905191533883,0.019886905191533882
AMPX,GapUp_2pct,0.04177648431885581,0.04167648431885581
UGE,GapUp_2pct,0.012845385173589158,0.012345385173589157
TROX,GapUp_2pct,-0.009698759331171425,-0.009798759331171424
AAPB,GapUp_2pct,0.030895686483811604,0.030595686483811602
FIAT,GapUp_2pct,-0.02853156575752913,-0.029031565757529132
LMAT,GapUp_2pct,0.023113513899160824,0.022813513899160823
KZR,GapUp_2pct,-0.018805735711720215,-0.019305735711720215
EXE,GapUp_2pct,0.007523599819695395,0.007423599819695394
PYXS,GapUp_2pct,-0.003325829117554503,-0.0036258291175545027
NSSC,GapUp_2pct,0.01466362220603629,0.01436362220603629
CELH,GapUp_2pct,-0.01798933370362762,-0.01808933370362762
PHGE,GapUp_2pct,-0.02993724086010791,-0.03043724086010791
QCMU,GapUp_2pct,-0.01373928260918503,-0.014239282609185031
OKUR,GapUp_2pct,-0.008832750626190837,-0.009332750626190838
CHWY,GapUp_2pct,0.0017293708947538865,0.0016293708947538864
PCCE,GapUp_2pct,0.014981670499572127,0.013981670499572128
CJMB,GapUp_2pct,-0.022633353349614724,-0.023133353349614725
BNKK,GapUp_2pct,-0.014377039726187516,-0.014677039726187516
SLQT,GapUp_2pct,0.03336082616356478,0.03326082616356478
YANG,GapUp_2pct,-0.018582217325038182,-0.01868221732503818
BKTI,GapUp_2pct,0.0386735863172836,0.0381735863172836
VG,GapUp_2pct,0.002722349416442062,0.002622349416442062
JBDI,GapUp_2pct,-0.06497079661286066,-0.06527079661286066
CREG,GapUp_2pct,-0.02745711633338118,-0.027757116333381182
ECX,GapUp_2pct,-0.006763027103580863,-0.006863027103580863
HVAC,GapUp_2pct,0.013647761167316327,0.012647761167316328
PESI,GapUp_2pct,-0.011076966031116615,-0.011376966031116615
LEN,GapUp_2pct,0.003773786444448935,0.003673786444448935
CGRO,GapUp_2pct,0.0014774411747871393,0.0004774411747871393
ROM,GapUp_2pct,0.016100975609886627,0.015600975609886627
VLY,GapUp_2pct,-0.0019708068736453144,-0.002070806873645314
PBR,GapUp_2pct,-0.00573655168207108,-0.00583655168207108
TTSH,GapUp_2pct,-0.029716299794100516,-0.030016299794100518
SDOT,GapUp_2pct,-0.019480393494293716,-0.019980393494293716
ESOA,GapUp_2pct,0.009985731509012793,0.009685731509012793
CMPX,GapUp_2pct,0.011802653634269016,0.011502653634269016
BZUN,GapUp_2pct,0.0001789394168674305,-0.00012106058313256948
CMP,GapUp_2pct,0.0260145092106262,0.025714509210626197
PSHG,GapUp_2pct,-0.007572270910551242,-0.008072270910551241
ZCMD,GapUp_2pct,-0.030848570457424486,-0.031148570457424488
CSAN,GapUp_2pct,-0.015497736538608305,-0.015597736538608305
TSAT,GapUp_2pct,-0.020767956166938776,-0.021267956166938776
VMC,GapUp_2pct,0.01446543042169692,0.01416543042169692
HP,GapUp_2pct,0.0034006241286912236,0.0033006241286912237
RCON,GapUp_2pct,0.002525870576869653,0.002225870576869653
CIO,GapUp_2pct,-0.024124584449666017,-0.02442458444966602
AALG,GapUp_2pct,0.04146727783604159,0.040967277836041587
KPLT,GapUp_2pct,0.0056042931489382235,0.005104293148938224
VIOT,GapUp_2pct,0.014084825628326246,0.013784825628326246
ABSI,GapUp_2pct,0.00268205787260386,0.0025820578726038603
YETI,GapUp_2pct,-0.003990291099217551,-0.004090291099217551
GGRW,GapUp_2pct,0.012817101477638902,0.0118171014776389
PKOH,GapUp_2pct,0.015087114824256445,0.014587114824256444
CORT,GapUp_2pct,0.01960379353777835,0.01950379353777835
UAA,GapUp_2pct,0.025147363227657857,0.025047363227657857
SBFG,GapUp_2pct,-0.0008657948154685165,-0.0013657948154685165
ENZL,GapUp_2pct,0.0001867704678676918,-0.0008132295321323082
OBE,GapUp_2pct,-0.019407532075101624,-0.019707532075101626
WGS,GapUp_2pct,0.007669217647668108,0.007369217647668108
BW,GapUp_2pct,0.032243571033996964,0.03214357103399696
BGSF,GapUp_2pct,0.016032752264168153,0.015532752264168153
AHCO,GapUp_2pct,-0.0017921127505232586,-0.0018921127505232586
WAFU,GapUp_2pct,-0.006232140328075181,-0.006532140328075181
SOLT,GapUp_2pct,-0.02150301868990698,-0.02160301868990698
APLS,GapUp_2pct,0.030233207170042797,0.030133207170042798
ADV,GapUp_2pct,-0.012119442194005299,-0.012419442194005299
GTEK,GapUp_2pct,0.016828501946923285,0.016328501946923285
LULU,GapUp_2pct,-0.0068750066690622235,-0.006975006669062224
IBRX,GapUp_2pct,0.03187413010870354,0.03177413010870354
CLAR,GapUp_2pct,-0.017672137182068212,-0.017972137182068214
KNOP,GapUp_2pct,-0.009230859481803596,-0.009730859481803597
TIPT,GapUp_2pct,0.007570398746860446,0.007270398746860446
EWBC,GapUp_2pct,-0.0015775743775928903,-0.0018775743775928902
UUU,GapUp_2pct,-0.004194862998970569,-0.004494862998970569
SOFX,GapUp_2pct,0.021406539031211643,0.02110653903121164
ESTA,GapUp_2pct,0.006015121158804466,0.005715121158804466
PLOW,GapUp_2pct,0.015740101076798633,0.015440101076798633
SOHOB,GapUp_2pct,0.018323273380354423,0.01732327338035442
NEWT,GapUp_2pct,0.010678141903072688,0.010378141903072688
HYMC,GapUp_2pct,0.013373053836076594,0.013073053836076595
UCFI,GapUp_2pct,0.01124241771770653,0.01074241771770653
OSCR,GapUp_2pct,0.0038567477105381676,0.0037567477105381678
WAR,GapUp_2pct,0.003453239583085441,0.002453239583085441
GE,GapUp_2pct,0.02668616926070405,0.026586169260704052
SSG,GapUp_2pct,-0.04714447015511449,-0.04764447015511449
ANF,GapUp_2pct,-0.006161746181101236,-0.006261746181101236
IPB,GapUp_2pct,-0.0073050163122509925,-0.008305016312250993
PLTU,GapUp_2pct,0.05142541237459516,0.051325412374595154
VMAR,GapUp_2pct,-0.09076693002506706,-0.09106693002506705
HCSG,GapUp_2pct,0.018460901145428636,0.018160901145428635
KD,GapUp_2pct,0.021442774401692677,0.021342774401692678
PDEX,GapUp_2pct,0.028397916207677065,0.027897916207677065
CHNR,GapUp_2pct,0.033456965983902055,0.032956965983902055
CANG,GapUp_2pct,0.010682449037528937,0.010382449037528937
NOA,GapUp_2pct,-0.009936268003099002,-0.010436268003099002
VREX,GapUp_2pct,0.037302073339010526,0.037002073339010524
CBRE,GapUp_2pct,0.015488418052959821,0.015388418052959821
KCAI,GapUp_2pct,0.008736782744756286,0.007736782744756286
TLRY,GapUp_2pct,-0.03767113683257067,-0.037771136832570676
OPRT,GapUp_2pct,0.010890806217356943,0.010590806217356943
CYTK,GapUp_2pct,0.03878557218755037,0.038685572187550366
XPOF,GapUp_2pct,0.00916174379166716,0.00886174379166716
LEE,GapUp_2pct,-0.011730340609086431,-0.012230340609086432
UPW,GapUp_2pct,0.019768136150332228,0.019268136150332228
PWP,GapUp_2pct,0.01791987090079675,0.01761987090079675
ATNI,GapUp_2pct,0.0043393478981460275,0.0038393478981460275
JOB,GapUp_2pct,-0.012548558106298036,-0.012848558106298036
ISTR,GapUp_2pct,0.020302267577247138,0.019802267577247137
HG,GapUp_2pct,0.04317845311763393,0.04287845311763393
CNOB,GapUp_2pct,-0.0017760759187747666,-0.0020760759187747665
SLDP,GapUp_2pct,0.026025465236751893,0.025925465236751894
FNGD,GapUp_2pct,-0.04303997822227223,-0.04313997822227223
CDZIP,GapUp_2pct,-0.014136725859348179,-0.01513672585934818
SPXS,GapUp_2pct,-0.022010805434081602,-0.0221108054340816
COCP,GapUp_2pct,-0.00028719836717381296,-0.000587198367173813
BULD,GapUp_2pct,-0.0021638803371974184,-0.0031638803371974184
