category,strategy,mean,n,t,significant
ADX7,ADX7_Bullish_H20,0.02115514448656699,2167317,2.592940732594893,False
ADX7,ADX7_Strong25_H1,0.0007762263487156228,3642584,13.966086698574685,True
ADX7,ADX7_Weak25_H1,0.0007181594968544677,579389,8.280342470036496,True
ADX7,ADX7_Bullish_H1,0.0004953593326856512,2269918,12.54220022396792,True
ADX7,ADX7_Strong25_H5,0.0250532675047645,3608957,1.406717229773116,False
ADX7,ADX7_Weak25_H5,0.0030931070543337275,575392,11.751563307109363,True
ADX7,ADX7_Bullish_H5,0.002176786477281206,2250360,17.593012414790127,True
ADX7,ADX7_Strong25_H10,0.05331633192628717,3566728,2.8696006594277548,False
ADX7,ADX7_Weak25_H10,0.005695519836639386,570666,15.611216972195557,True
ADX7,ADX7_Bullish_H10,0.004267016775062084,2220933,24.795439598858554,True
ADX7,ADX7_Strong25_H20,0.08400656821734864,3482335,4.379989776131583,True
ADX7,ADX7_Weak25_H20,0.010339900333793851,561155,27.17229342355095,True
ADX7,ADX7_Bullish_H20,0.02115514448656699,2167317,2.592940732594893,False
ADX7,ADX7_Strong30_H1,0.0007884950998956972,3276433,13.112376776114573,True
ADX7,ADX7_Weak30_H1,0.0006981194857283079,945538,9.634926231906483,True
ADX7,ADX7_Bullish_H1,0.0004953593326856512,2269918,12.54220022396792,True
ADX7,ADX7_Strong30_H5,0.027482061622745864,3246127,1.387960497664184,False
ADX7,ADX7_Weak30_H5,0.003182263391771003,938220,13.009292791790434,True
ADX7,ADX7_Bullish_H5,0.002176786477281206,2250360,17.593012414790127,True
ADX7,ADX7_Strong30_H10,0.04102053931236863,3207075,2.66845727446735,False
ADX7,ADX7_Weak30_H10,0.06649244518418211,930317,1.3968737292855742,False
ADX7,ADX7_Bullish_H10,0.004267016775062084,2220933,24.795439598858554,True
ADX7,ADX7_Strong30_H20,0.08049347014032966,3129224,4.019513256034145,True
ADX7,ADX7_Weak30_H20,0.050815672205785305,914264,2.010368671616179,False
ADX7,ADX7_Bullish_H20,0.02115514448656699,2167317,2.592940732594893,False
ADX7,ADX7_Strong40_H1,0.0008184106126518205,2459348,17.607656799684563,True
ADX7,ADX7_Weak40_H1,0.0006983317638726226,1762610,7.054393227239678,True
ADX7,ADX7_Bullish_H1,0.0004953593326856512,2269918,12.54220022396792,True
ADX7,ADX7_Strong40_H5,0.03547015815336855,2436790,1.34476263969461,False
ADX7,ADX7_Weak40_H5,0.0032979475977010057,1747544,18.925635143193034,True
ADX7,ADX7_Bullish_H5,0.002176786477281206,2250360,17.593012414790127,True
ADX7,ADX7_Strong40_H10,0.05259995072182373,2405973,2.567029781775571,False
ADX7,ADX7_Weak40_H10,0.03861708086238216,1731406,1.5098230129758097,False
ADX7,ADX7_Bullish_H10,0.004267016775062084,2220933,24.795439598858554,True
ADX7,ADX7_Strong40_H20,0.1031246897422096,2345874,3.860553611071952,True
ADX7,ADX7_Weak40_H20,0.03323863400592428,1697601,2.441417652220712,False
ADX7,ADX7_Bullish_H20,0.02115514448656699,2167317,2.592940732594893,False
ADX14,ADX14_Strong20_H1,0.02015847227734195,3245476,1.0467927005767412,False
ADX14,ADX14_Weak20_H1,0.0004455824916497206,853839,7.653915112625811,True
ADX14,ADX14_Bullish_H1,0.0003831137591641298,2291211,9.464137893769779,True
ADX14,ADX14_Strong20_H5,0.046170256803210505,3214746,2.0365427590335416,False
ADX14,ADX14_Weak20_H5,0.0021726413776180648,846880,18.971324682058626,True
ADX14,ADX14_Bullish_H5,0.001753394440207662,2267293,14.356281854069978,True
ADX14,ADX14_Strong20_H10,0.07664925944658142,3177221,3.3038629499005148,True
ADX14,ADX14_Weak20_H10,0.004758580429755775,837288,28.479992326406595,True
ADX14,ADX14_Bullish_H10,0.004536381586117783,2234426,29.178949891943663,True
ADX14,ADX14_Strong20_H20,0.12985797124049103,3101528,4.194767635562331,True
ADX14,ADX14_Weak20_H20,0.010304886457003254,818666,43.95230417602625,True
ADX14,ADX14_Bullish_H20,0.009848331969037864,2190311,50.15616364236489,True
ADX14,ADX14_Strong25_H1,0.024294322509241326,2677292,1.040699423915388,False
ADX14,ADX14_Weak25_H1,0.0005353629177971498,1422023,11.341943096323376,True
ADX14,ADX14_Bullish_H1,0.0003831137591641298,2291211,9.464137893769779,True
ADX14,ADX14_Strong25_H5,0.055203068297577346,2652430,2.0090575915658886,False
ADX14,ADX14_Weak25_H5,0.002727328535156011,1409196,24.477441663286534,True
ADX14,ADX14_Bullish_H5,0.001753394440207662,2267293,14.356281854069978,True
ADX14,ADX14_Strong25_H10,0.09150130134503731,2622770,3.255780610904825,True
ADX14,ADX14_Weak25_H10,0.005409829652163867,1391739,36.69593906448264,True
ADX14,ADX14_Bullish_H10,0.004536381586117783,2234426,29.178949891943663,True
ADX14,ADX14_Strong25_H20,0.15460594969475308,2561897,4.125272635815496,True
ADX14,ADX14_Weak25_H20,0.01112413212769232,1358297,53.63403719545233,True
ADX14,ADX14_Bullish_H20,0.009848331969037864,2190311,50.15616364236489,True
ADX14,ADX14_Strong30_H1,0.030486108724957047,2121424,1.0347952497495008,False
ADX14,ADX14_Weak30_H1,0.0005714832301761314,1977890,12.957630476600205,True
ADX14,ADX14_Bullish_H1,0.0003831137591641298,2291211,9.464137893769779,True
ADX14,ADX14_Strong30_H5,0.0616773069108402,2102815,1.8184844840212095,False
ADX14,ADX14_Weak30_H5,0.010501196530164979,1958810,1.3713112726913086,False
ADX14,ADX14_Bullish_H5,0.001753394440207662,2267293,14.356281854069978,True
ADX14,ADX14_Strong30_H10,0.10563277840033086,2080758,3.0611374100481696,True
ADX14,ADX14_Weak30_H10,0.014334784910293757,1933750,1.663112483704854,False
ADX14,ADX14_Bullish_H10,0.004536381586117783,2234426,29.178949891943663,True
ADX14,ADX14_Strong30_H20,0.18418482976474404,2033157,3.947514569817253,True
ADX14,ADX14_Weak30_H20,0.019457984941352244,1887036,2.4776288659024273,False
ADX14,ADX14_Bullish_H20,0.009848331969037864,2190311,50.15616364236489,True
ADX14,ADX14_Strong40_H1,0.053230482976625075,1197605,1.0200007415558334,False
ADX14,ADX14_Weak40_H1,0.0007082726478241929,2901709,10.976929703717767,True
ADX14,ADX14_Bullish_H1,0.0003831137591641298,2291211,9.464137893769779,True
ADX14,ADX14_Strong40_H5,0.03960868043055897,1188224,1.566407915556101,False
ADX14,ADX14_Weak40_H5,0.03591615135202164,2873401,1.5542451665777397,False
ADX14,ADX14_Bullish_H5,0.001753394440207662,2267293,14.356281854069978,True
ADX14,ADX14_Strong40_H10,0.12398092662935363,1177085,2.4229161277596822,False
