strategy,mean,n,t
OB_HighVol_H20,0.18476607066561143,149581,1.5634664998326018
BestMo_Oversold_H5,0.013132233817634162,182901,43.440414649540955
BestMo_Oversold_H10,0.026525013709974794,182901,64.2833495991561
BestMo_Oversold_H20,0.05413631194893378,182901,85.49201821881263
BestMo_LowVol_H5,0.0019861262623796084,420226,69.71054774453545
BestMo_LowVol_H10,0.004940316361226913,420226,116.07306732033435
BestMo_LowVol_H20,0.012010606207279992,420226,97.73670093849452
BestMo_Uptrend_H5,0.005879695549488095,483932,31.168106539513374
BestMo_Uptrend_H10,0.014213635237726912,483932,53.13068339229792
BestMo_Uptrend_H20,0.03592313351329986,483932,74.21854222904393
WorstMo_Overbought_H5,-0.005521198290276895,101633,-14.268423618943537
WorstMo_Overbought_H10,-0.010678332436998322,101633,-22.46808730869117
WorstMo_Overbought_H20,-0.011305612694691805,101629,-16.428339111674607
Up_OS_LV_H5,0.005293752501234585,9615,18.079691560011053
Up_OS_LV_H10,0.006193514715900128,9588,17.83616992218517
Up_OS_LV_H20,0.01970879255555225,9432,40.21502022361812
Up_OS_BestMo_H5,0.011900806288064324,25706,19.379750293730524
Up_OS_BestMo_H10,0.026178737893265355,25706,24.271183876288465
Up_OS_BestMo_H20,0.05253184177752333,25706,39.4232614336089
Up_LV_BestMo_H5,0.001894681411237476,115001,29.791947237991565
Up_LV_BestMo_H10,0.0046414150573842,115001,53.293173624017804
Up_LV_BestMo_H20,0.013441291460972194,115001,101.69438896375108
OS_LV_BestMo_H5,0.0029613951627855566,37007,28.589075940673133
OS_LV_BestMo_H10,0.006727567907070979,37007,49.06009297325521
OS_LV_BestMo_H20,0.020728595487857777,37007,104.94430690651454
Down_OB_HV_H5,0.0006987022741776128,31743,0.531314492482417
Down_OB_HV_H10,0.005424718403185799,31088,2.6434993126523056
Down_OB_HV_H20,0.021732337322680987,30369,7.872329729257337
Down_OB_WorstMo_H5,-0.011744581480257484,7920,-6.075853399524202
Down_OB_WorstMo_H10,-0.0297261401207013,7920,-12.670135417469199
Down_OB_WorstMo_H20,-0.04255278532851005,7920,-13.211333458508838
Down_OS_HV_H5,0.01665193401192433,108323,7.994964909496621
Down_OS_HV_H10,0.02844554764991574,107652,14.743689322216643
Down_OS_HV_H20,0.04250102619558878,105308,15.691529822142428
Up_OB_LV_H5,-0.001841726594762201,83248,-13.471732067169292
Up_OB_LV_H10,-0.0017538965139839904,82941,-11.831803374257051
Up_OB_LV_H20,0.0005496818975363522,82405,1.890175243457465
Up_ShortDn_LV_H5,0.003195232518878342,12827,13.370052671725656
Up_ShortDn_LV_H10,0.003353392511355662,12790,10.158815196672084
Up_ShortDn_LV_H20,0.01588852350265367,12661,38.07539543416904
Down_ShortUp_HV_H5,0.09982824626713958,182346,1.09220438631911
Down_ShortUp_HV_H10,0.10955531615863655,179390,1.1791611434113947
Down_ShortUp_HV_H20,0.2622859774146957,172556,1.8435625010328875
ULTIMATE_LONG_H5,0.0003222739775801462,4378,0.8757185282566659
ULTIMATE_LONG_H10,0.006589549111212461,4378,14.008154413840053
ULTIMATE_LONG_H20,0.02721778579181934,4378,41.72166495287466
ULTIMATE_SHORT_H5,-0.013216940110420489,4069,-3.6380885586184997
ULTIMATE_SHORT_H10,-0.03824980542026273,4069,-8.826574196438791
ULTIMATE_SHORT_H20,-0.06488499283146867,4069,-11.209279557480254
PERFECT_PULLBACK_H5,0.0062717095297632145,5872,20.084833357171977
PERFECT_PULLBACK_H10,0.009514741408724207,5872,22.890003821367657
PERFECT_PULLBACK_H20,0.026861696710664334,5872,48.348425872994696
CAPITULATION_H5,0.01662488410458347,106722,7.893671701157228
CAPITULATION_H10,0.02852804097834386,106060,14.61499878045273
CAPITULATION_H20,0.042732902839348254,103749,15.578085586510111
PURE_UPTREND_H10,0.0036799704404299454,1267713,21.71895923738746
PURE_UPTREND_H20,0.009276176116110531,1243247,35.64338097342168
PURE_DOWNTREND_H10,0.130815364375101,1096147,2.65506198112293
PURE_DOWNTREND_H20,0.2600253177441111,1065870,3.167628731775657
PURE_SIDEWAYS_H10,0.0518024634821929,1923075,1.9858468783346206
PURE_SIDEWAYS_H20,0.06682571381090548,1882808,3.1822630703119237
PURE_OVERSOLD_H10,0.014992580694375191,488060,31.387471824154435
PURE_OVERSOLD_H20,0.022629961946821552,478392,34.05506264177756
PURE_OVERBOUGHT_H10,0.0019581917256126097,611186,8.438495744939116
PURE_OVERBOUGHT_H20,0.04884577080316852,597900,1.6521109578401658
PURE_LOW_VOL_H10,0.0023039938289492264,1227074,28.933607959905107
PURE_LOW_VOL_H20,0.005094369340422707,1198284,41.37782413318774
PURE_HIGH_VOL_H10,0.1934695799995497,1229514,3.2271088669564723
PURE_HIGH_VOL_H20,0.32813578176073727,1198133,4.09471601821278
PURE_BEST_MONTH_H10,0.016312625018587403,1462293,109.25741278155665
PURE_BEST_MONTH_H20,0.036820088384371584,1462293,153.9419309297222
PURE_WORST_MONTH_H10,-0.006717418158624989,764071,-26.459021360981193
PURE_WORST_MONTH_H20,-0.020656376819789983,764050,-62.60700959529077
