date,vxx,vxx_ret,contango_ratio,spy_vol,signal_ts,signal_always_short,signal_bh,signal_random,ret_ts,ret_always_short,ret_bh,ret_random,cumret_ts,cumret_always_short,cumret_bh,cumret_random
2025-04-03 04:00:00+00:00,62.4900016784668,0.24755443178488923,0.912058585718165,0.2089097165257644,1,-1,1,1,0.0,-0.24755443178488923,0.24755443178488923,-0.24755443178488923,1.719285228974114,0.48088532916586263,0.03530029940753589,0.24211255085191127
2025-04-04 04:00:00+00:00,74.8499984741211,0.19779159007309466,0.810196379868401,0.288254280000248,1,-1,1,-1,0.19779159007309466,-0.19779159007309466,0.19779159007309466,0.19779159007309466,2.0593453882020887,0.3857702552673231,0.04228240175740873,0.2900003772615638
2025-04-07 04:00:00+00:00,74.3499984741211,-0.006680026856284771,0.785014930341987,0.2753975225711218,1,-1,1,1,-0.006680026856284771,0.006680026856284771,-0.006680026856284771,0.006680026856284771,2.0455889057025325,0.3883472109328647,0.04199995417812102,0.29193758757000376
2025-04-08 04:00:00+00:00,85.41999816894531,0.1488903822732066,0.793044115190003,0.27528821773415096,1,-1,1,1,0.1488903822732066,-0.1488903822732066,0.1488903822732066,0.1488903822732066,2.350157419846413,0.33052604624233684,0.04825334341115862,0.33540428658321936
2025-04-09 04:00:00+00:00,67.79000091552734,-0.20639191795051348,0.8899464909833239,0.48317764039691474,1,-1,1,1,-0.20639191795051348,0.20639191795051348,-0.20639191795051348,-0.20639191795051348,1.8651039224786816,0.3987439508588928,0.03829424331700482,0.266179552586485
2025-04-10 04:00:00+00:00,79.19999694824219,0.16831384980998543,0.8769645877691367,0.5061880156101187,1,-1,1,-1,0.16831384980998543,-0.16831384980998543,0.16831384980998543,0.16831384980998543,2.179026743966773,0.3316298214013889,0.044739694835250206,0.3109812578230158
2025-04-11 04:00:00+00:00,77.12000274658203,-0.02626255406322109,0.9028221141526788,0.5074996974233729,1,-1,1,-1,-0.02626255406322109,0.02626255406322109,-0.02626255406322109,0.02626255406322109,2.121799936298141,0.3403392675149192,0.043564716180867435,0.3191484199192412
2025-04-14 04:00:00+00:00,68.02999877929688,-0.11786830450661556,0.9592100921405624,0.5082528695055528,0,-1,1,-1,-0.11786830450661556,0.11786830450661556,-0.11786830450661556,0.11786830450661556,1.8717069753044342,0.3804544799339262,0.038429816948316674,0.3567659030610875
2025-04-15 04:00:00+00:00,68.31999969482422,0.004262838758356757,0.962815378219561,0.5080295599612833,0,-1,1,1,0.0,-0.004262838758356757,0.004262838758356757,-0.004262838758356757,1.8717069753044342,0.37883266383107345,0.038593637061480515,0.3552450675418586
2025-04-16 04:00:00+00:00,73.36000061035156,0.07377050553337705,0.9479167007542908,0.5121771561708147,1,-1,1,-1,0.0,-0.07377050553337705,0.07377050553337705,0.07377050553337705,1.8717069753044342,0.35088598670769927,0.04144070917787761,0.38145167576266015
