strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI20_OV35_H1,20,35,1,oversold,965,0.003266084962479377,0.00286214713864518,0.7119170984455958,8.53376853542066,5.442488092175327e-17
RSI20_OV30_H1,20,30,1,oversold,907,0.004352151691668202,0.003958766906662689,0.6990077177508269,8.518662663774098,6.665373586154924e-17
RSI20_OV30_H3,20,30,3,oversold,907,0.01194951426829002,0.011556129483284508,0.7585446527012127,8.478246025146452,9.201134140768699e-17
RSI14_OV20_H1,14,20,1,oversold,783,0.004718208299270771,0.004338003956997464,0.7126436781609196,8.454320931691132,1.3676649499059258e-16
RSI7_OV25_H5,7,25,5,oversold,998,0.009040188527244333,0.008627362875941728,0.7885771543086172,8.42305247738298,1.266855129095369e-16
RSI7_OV30_H5,7,30,5,oversold,999,0.007844068794874903,0.007430655381461489,0.7747747747747747,8.32150271962233,2.831386460779076e-16
RSI7_OV20_H5,7,20,5,oversold,991,0.01046606678617633,0.010056177785167248,0.7709384460141272,8.272975172863951,4.1856949355685343e-16
RSI10_OV30_H1,10,30,1,oversold,993,0.0020455767928619717,0.0016352041846041667,0.6727089627391742,8.210767327320653,6.794640419201573e-16
RSI10_OV20_H3,10,20,3,oversold,930,0.00904115187297103,0.008643302410605439,0.7118279569892473,8.15411026358324,1.1335057044875936e-15
RSI10_OV25_H5,10,25,5,oversold,975,0.010633582226578656,0.010226607867604298,0.7682051282051282,8.144254415615318,1.161664660866905e-15
RSI10_OV20_H10,10,20,10,oversold,930,0.020749012857145362,0.020351163394779773,0.7365591397849462,7.901387707449377,7.775726160456554e-15
RSI30_OV30_H1,30,30,1,oversold,617,0.00435205507024464,0.003991763336046909,0.6320907617504052,7.854000117983738,1.7982616947414502e-14
RSI14_OV25_H20,14,25,20,oversold,924,0.027767747353732095,0.02737272570871045,0.6991341991341992,7.771330443482401,2.0658246892610245e-14
RSI14_OV20_H3,14,20,3,oversold,783,0.011958203389130366,0.011577999046857055,0.6934865900383141,7.519387813094109,1.510866991970742e-13
RSI10_OV20_H5,10,20,5,oversold,930,0.013139862012777764,0.012742012550412173,0.7279569892473118,7.470559628379237,1.8404748032141314e-13
RSI10_OV35_H1,10,35,1,oversold,999,0.0017270225539136213,0.0013141096410007084,0.6576576576576577,7.435500649940889,2.23927437141107e-13
RSI14_OV20_H10,14,20,10,oversold,783,0.028364789579738155,0.027984585237464846,0.7330779054916986,7.3618957118583115,4.600231709062714e-13
