strategy,mean,n,t
Above5Days_H5,0.0011949659019450862,1440285,13.41968717532737
Below5Days_H5,0.006074611784741626,1397399,25.911133242125906
Above5Days_H10,0.04330613958535504,1417240,1.3859594776002624
Below5Days_H10,0.010863324370060002,1387722,35.98924059091056
Above7Days_H1,0.00011882504888052893,1221616,3.0069777779579603
Below7Days_H1,0.0015757754513981293,1173075,10.245376859452128
Above7Days_H5,0.001246909563259522,1206893,12.895605026100514
Below7Days_H5,0.006770874192021786,1166687,24.51384772220977
Above7Days_H10,0.05100461607860747,1186806,1.3669342657317187
Below7Days_H10,0.0116762311089274,1159202,33.62718686860094
Above10Days_H1,0.00018034495573320794,938135,4.019959596166566
Below10Days_H1,0.0018761932614485177,894845,9.54199965432729
Above10Days_H5,0.0011837746190982916,925513,10.656005511295094
Below10Days_H5,0.007442111112252449,890216,21.403747626305275
Above10Days_H10,0.003522424667550776,912698,21.76442746131758
Below10Days_H10,0.012843964983651772,884682,29.852162721061617
RangeContract5_H1,0.0007278400352183188,425515,5.4637104958447855
RangeExpand5_H1,0.0006741551582029683,161515,2.1713916000485938
RangeContract5_H5,0.0426495757597711,422028,1.0799919560429783
RangeExpand5_H5,0.004336398030406374,160322,8.026453922188013
RangeContract5_H10,0.04393421610196254,418061,1.197875131466246
RangeExpand5_H10,0.3654198366098428,158269,1.3060162826285096
RangeContract10_H1,0.0007089025627585591,524118,6.296182580959594
RangeExpand10_H1,0.0006490205011228658,219180,2.499790472650182
RangeContract10_H5,0.03630528509382016,520376,1.1335860254429246
RangeExpand10_H5,0.005077972652758314,217175,11.512386351143792
RangeContract10_H10,0.037521930899625744,515305,1.2610018104147358
RangeExpand10_H10,0.0094213571599002,214493,16.944733823755854
RangeContract20_H1,0.000659394201142609,587293,6.521151463061083
RangeExpand20_H1,0.0011060675147640533,244356,4.49701914679191
RangeContract20_H5,0.03239855429917835,582579,1.1325114743726805
RangeExpand20_H5,0.006068404183547328,242824,14.609303897582135
RangeContract20_H10,0.03311525763694561,574722,1.24121677903455
RangeExpand20_H10,0.01141702987618818,240824,18.742393171262687
