strategy,period,std_dev,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value,source,lookback,threshold,direction,avg_gross,category,avg_return,n,significant,mean_return,layer,factors,condition,pattern,mean,t,fast,slow,hold_period,num_tickers,profitable_pct,source_file,ma_type,hypothesis,law,regime,n_samples
RSI14_OV25_H10,14.0,,,10.0,924.0,0.0251004357558196,0.7683982683982684,9.598071809158476,7.377969612837065e-21,GRAND_UNIFIED.csv,,25.0,oversold,0.0254954574008413,,,,True,,,,,,,,,,,,,,,,,,
RSI25_OV30_H10,25.0,,,10.0,784.0,0.0205120941450211,0.7130102040816326,9.581414077569574,1.2291764176359874e-20,GRAND_UNIFIED.csv,,30.0,oversold,0.0208895176144089,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV25_H10,10.0,,,10.0,975.0,0.0176144075523978,0.7671794871794871,9.43798165409758,2.708361616776188e-20,GRAND_UNIFIED.csv,,25.0,oversold,0.0180213819113721,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV35_H5,10.0,,,5.0,999.0,0.0071528591318775,0.7747747747747747,9.42326947917607,2.946183029577814e-20,GRAND_UNIFIED.csv,,35.0,oversold,0.0075657720447904,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV20_H15,10.0,,,15.0,930.0,0.0285170892025314,0.7440860215053764,9.408263324487,3.835448639963333e-20,GRAND_UNIFIED.csv,,20.0,oversold,0.028914938664897,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV20_H10,7.0,,,10.0,991.0,0.0158050048875085,0.7669021190716448,9.3041211524196,8.426522238109771e-20,GRAND_UNIFIED.csv,,20.0,oversold,0.0162148938885176,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV20_H1,10.0,,,1.0,930.0,0.0039307889813796,0.6720430107526881,9.240275209961466,1.6324730027862906e-19,GRAND_UNIFIED.csv,,20.0,oversold,0.0043286384437452,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV30_H5,10.0,,,5.0,993.0,0.0084093803617476,0.7804632426988922,9.086983686619304,5.399953784837638e-19,GRAND_UNIFIED.csv,,30.0,oversold,0.0088197529700054,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV35_H1,14.0,,,1.0,994.0,0.0020433958525878,0.6891348088531187,8.900129744184454,2.5982497308055495e-18,GRAND_UNIFIED.csv,,35.0,oversold,0.0024550658727085,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV30_H20,14.0,,,20.0,973.0,0.0231228826793705,0.7440904419321686,8.866896563419175,3.5353977780810435e-18,GRAND_UNIFIED.csv,,30.0,oversold,0.0235290491747456,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV35_H3,20.0,,,3.0,965.0,0.0085784581222828,0.7585492227979275,8.85433310900913,3.9718547417808495e-18,GRAND_UNIFIED.csv,,35.0,oversold,0.008982395946117,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV35_H5,7.0,,,5.0,1000.0,0.006282608726728,0.772,8.847899033276958,3.97886882709444e-18,GRAND_UNIFIED.csv,,35.0,oversold,0.006696108726728,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV35_H3,10.0,,,3.0,999.0,0.0041953105467114,0.7477477477477478,8.804005670992735,5.7331664219698234e-18,GRAND_UNIFIED.csv,,35.0,oversold,0.0046082234596243,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV30_H3,10.0,,,3.0,993.0,0.0049620545151183,0.7381671701913394,8.732601969815555,1.0413802397443989e-17,GRAND_UNIFIED.csv,,30.0,oversold,0.0053724271233761,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV25_H1,10.0,,,1.0,975.0,0.0025104926027432,0.6748717948717948,8.63439038572084,2.380872115950297e-17,GRAND_UNIFIED.csv,,25.0,oversold,0.0029174669617176,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV25_H3,10.0,,,3.0,975.0,0.0067119712629791,0.7292307692307692,8.62869776766103,2.4935503390319465e-17,GRAND_UNIFIED.csv,,25.0,oversold,0.0071189456219534,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV35_H1,20.0,,,1.0,965.0,0.0028621471386451,0.7119170984455958,8.53376853542066,5.442488092175328e-17,GRAND_UNIFIED.csv,,35.0,oversold,0.0032660849624793,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV30_H1,20.0,,,1.0,907.0,0.0039587669066626,0.6990077177508269,8.518662663774098,6.665373586154924e-17,GRAND_UNIFIED.csv,,30.0,oversold,0.0043521516916682,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV30_H3,20.0,,,3.0,907.0,0.0115561294832845,0.7585446527012127,8.478246025146452,9.201134140768699e-17,GRAND_UNIFIED.csv,,30.0,oversold,0.01194951426829,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV20_H1,14.0,,,1.0,783.0,0.0043380039569974,0.7126436781609196,8.454320931691132,1.3676649499059258e-16,GRAND_UNIFIED.csv,,20.0,oversold,0.0047182082992707,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV25_H5,7.0,,,5.0,998.0,0.0086273628759417,0.7885771543086172,8.42305247738298,1.266855129095369e-16,GRAND_UNIFIED.csv,,25.0,oversold,0.0090401885272443,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV30_H5,7.0,,,5.0,999.0,0.0074306553814614,0.7747747747747747,8.32150271962233,2.8313864607790763e-16,GRAND_UNIFIED.csv,,30.0,oversold,0.0078440687948749,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV20_H5,7.0,,,5.0,991.0,0.0100561777851672,0.7709384460141272,8.272975172863951,4.1856949355685343e-16,GRAND_UNIFIED.csv,,20.0,oversold,0.0104660667861763,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV30_H1,10.0,,,1.0,993.0,0.0016352041846041,0.6727089627391742,8.210767327320653,6.794640419201573e-16,GRAND_UNIFIED.csv,,30.0,oversold,0.0020455767928619,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV20_H3,10.0,,,3.0,930.0,0.0086433024106054,0.7118279569892473,8.15411026358324,1.1335057044875936e-15,GRAND_UNIFIED.csv,,20.0,oversold,0.009041151872971,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV25_H5,10.0,,,5.0,975.0,0.0102266078676042,0.7682051282051282,8.144254415615318,1.161664660866905e-15,GRAND_UNIFIED.csv,,25.0,oversold,0.0106335822265786,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV20_H10,10.0,,,10.0,930.0,0.0203511633947797,0.7365591397849462,7.901387707449377,7.775726160456554e-15,GRAND_UNIFIED.csv,,20.0,oversold,0.0207490128571453,,,,True,,,,,,,,,,,,,,,,,,
RSI30_OV30_H1,30.0,,,1.0,617.0,0.0039917633360469,0.6320907617504052,7.854000117983738,1.7982616947414502e-14,GRAND_UNIFIED.csv,,30.0,oversold,0.0043520550702446,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV25_H20,14.0,,,20.0,924.0,0.0273727257087104,0.6991341991341992,7.771330443482401,2.0658246892610245e-14,GRAND_UNIFIED.csv,,25.0,oversold,0.027767747353732,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV20_H3,14.0,,,3.0,783.0,0.011577999046857,0.6934865900383141,7.519387813094109,1.510866991970742e-13,GRAND_UNIFIED.csv,,20.0,oversold,0.0119582033891303,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV20_H5,10.0,,,5.0,930.0,0.0127420125504121,0.7279569892473118,7.470559628379237,1.8404748032141322e-13,GRAND_UNIFIED.csv,,20.0,oversold,0.0131398620127777,,,,True,,,,,,,,,,,,,,,,,,
RSI10_OV35_H1,10.0,,,1.0,999.0,0.0013141096410007,0.6576576576576577,7.435500649940889,2.23927437141107e-13,GRAND_UNIFIED.csv,,35.0,oversold,0.0017270225539136,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV20_H10,14.0,,,10.0,783.0,0.0279845852374648,0.7330779054916986,7.361895711858311,4.600231709062714e-13,GRAND_UNIFIED.csv,,20.0,oversold,0.0283647895797381,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV20_H3,7.0,,,3.0,991.0,0.0066566335998328,0.739656912209889,7.324124969739606,4.977789387571302e-13,GRAND_UNIFIED.csv,,20.0,oversold,0.0070665226008419,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV35_H3,7.0,,,3.0,1000.0,0.0038366502312471,0.748,7.321237697635967,5.048443341204393e-13,GRAND_UNIFIED.csv,,35.0,oversold,0.0042501502312471,,,,True,,,,,,,,,,,,,,,,,,
RSI30_OV30_H5,30.0,,,5.0,617.0,0.0129947559746377,0.6645056726094003,7.292223373662387,9.406272119300374e-13,GRAND_UNIFIED.csv,,30.0,oversold,0.0133550477088354,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV20_H15,14.0,,,15.0,783.0,0.0347144693724975,0.719029374201788,7.213256752570936,1.2920663525710253e-12,GRAND_UNIFIED.csv,,20.0,oversold,0.0350946737147709,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV25_H3,7.0,,,3.0,998.0,0.0057244328306471,0.749498997995992,7.19577354306483,1.21978934719121e-12,GRAND_UNIFIED.csv,,25.0,oversold,0.0061372584819497,,,,True,,,,,,,,,,,,,,,,,,
RSI14_OV20_H5,14.0,,,5.0,783.0,0.0168006208337169,0.719029374201788,7.015927753890897,4.952278374727662e-12,GRAND_UNIFIED.csv,,20.0,oversold,0.0171808251759902,,,,True,,,,,,,,,,,,,,,,,,
RSI30_OV30_H3,30.0,,,3.0,617.0,0.0084180193152423,0.6434359805510534,7.012165800556247,6.190093761282626e-12,GRAND_UNIFIED.csv,,30.0,oversold,0.0087783110494401,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV30_H20,20.0,,,20.0,907.0,0.0217820862627672,0.6416758544652701,7.006566436716344,4.763813048261968e-12,GRAND_UNIFIED.csv,,30.0,oversold,0.0221754710477727,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV30_H3,7.0,,,3.0,999.0,0.004780005811165,0.7547547547547547,6.982159630258127,5.29791302427365e-12,GRAND_UNIFIED.csv,,30.0,oversold,0.0051934192245784,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV25_H10,20.0,,,10.0,691.0,0.0257966663030085,0.6772793053545586,6.900427389556273,1.1755154679118142e-11,GRAND_UNIFIED.csv,,25.0,oversold,0.0261691699209535,,,,True,,,,,,,,,,,,,,,,,,
RSI20_OV25_H5,20.0,,,5.0,691.0,0.0162396360289854,0.6859623733719248,6.524835931480233,1.3178056774331634e-10,GRAND_UNIFIED.csv,,25.0,oversold,0.0166121396469304,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV35_H1,7.0,,,1.0,1000.0,0.0012707022625916,0.647,6.077947655900416,1.7296278189035102e-09,GRAND_UNIFIED.csv,,35.0,oversold,0.0016842022625916,,,,True,,,,,,,,,,,,,,,,,,
RSI25_OV25_H3,25.0,,,3.0,467.0,0.00936858588785,0.6338329764453962,5.973500159821399,4.613781291640751e-09,GRAND_UNIFIED.csv,,25.0,oversold,0.0097236180077644,,,,True,,,,,,,,,,,,,,,,,,
RSI7_OV30_H1,7.0,,,1.0,999.0,0.0015709272104262,0.6556556556556556,5.935405073259248,4.040310629281497e-09,GRAND_UNIFIED.csv,,30.0,oversold,0.0019843406238396,,,,True,,,,,,,,,,,,,,,,,,
