category,strategy,avg_return,n_samples,t_stat,significant,source
PRICE_POSITION,Near52WkHigh_15pct_H1,0.0002657865452524,2190995,12.274119653759984,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_15pct_H1,0.0397674612938094,1611217,1.0251963888176303,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_15pct_H5,0.0014079489518172,2169352,33.77848053342361,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_15pct_H5,0.0578925411553068,1599629,1.3757459524646014,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_15pct_H10,0.0029895597869614,2142160,51.53796585032407,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_15pct_H10,0.0674174036150419,1585815,2.180554922092535,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_15pct_H20,0.0059712763813897,2090516,72.90830635338332,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_15pct_H20,0.1311401899377124,1555178,2.4868219162795424,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_20pct_H1,0.0003078251081224,2471554,15.058198569377492,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_20pct_H1,0.0323438036608779,1987174,1.0283764109996665,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_20pct_H5,0.0016284567027279,2447650,40.48433290261797,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_20pct_H5,0.0475694729770987,1972865,1.3941869018667925,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_20pct_H10,0.0033819789574988,2417781,60.44578649869632,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_20pct_H10,0.0557868572341583,1955593,2.2251029489452607,False,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkHigh_20pct_H20,0.0065689098442396,2360352,82.89343427882368,True,DEEP_EXPLORATION_1.csv
PRICE_POSITION,Near52WkLow_20pct_H20,0.1080718764484803,1917896,2.527345065232278,False,DEEP_EXPLORATION_1.csv
INTRADAY,StrongClose_H1,-0.0008721750758058,643224,-14.128997353071926,True,DEEP_EXPLORATION_1.csv
INTRADAY,WeakClose_H1,0.1028779286357821,626756,1.0316858445716723,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top9_H1,0.1455794411357587,437336,1.0186857086080905,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top5_H1,0.2896403510023548,218652,1.0132990376028337,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot5_H1,0.0012226651414097,218586,4.710479399430733,True,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot10_H1,0.0006664640195121,436991,5.125457118974484,True,DEEP_EXPLORATION_1.csv
INTRADAY,StrongClose_H3,0.064619281734991,641375,0.994706743644468,False,DEEP_EXPLORATION_1.csv
INTRADAY,WeakClose_H3,0.0451955298509867,622696,1.1257621300761622,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top9_H3,0.159977425897164,435431,1.433590694115262,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top5_H3,0.314384766534901,217685,1.4084427800405113,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot5_H3,0.0715936887282086,217566,1.0384834208048663,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot10_H3,0.0360074175090548,434783,1.0437542823287198,False,DEEP_EXPLORATION_1.csv
INTRADAY,StrongClose_H5,0.0502476036006672,639926,1.4341025816949289,False,DEEP_EXPLORATION_1.csv
INTRADAY,WeakClose_H5,0.1478838097091661,618722,1.3593000635694426,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top9_H5,0.2851126465826745,433169,1.7406938096716147,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top5_H5,0.5615007350786685,216515,1.7135196412537874,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot5_H5,0.0814827064783815,216535,1.0586802264188453,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot10_H5,0.0411701655358955,432422,1.068222073822565,False,DEEP_EXPLORATION_1.csv
INTRADAY,StrongClose_H10,0.0825711802788404,633943,1.8133870774548264,False,DEEP_EXPLORATION_1.csv
INTRADAY,WeakClose_H10,0.1695508911167494,611329,2.1140948232610683,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top9_H10,0.4952070203719961,429011,2.9466716242357065,False,DEEP_EXPLORATION_1.csv
INTRADAY,WideRange_Top5_H10,0.973768309290951,214562,2.897949121537688,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot5_H10,0.0802878457296434,213854,1.119813208376647,False,DEEP_EXPLORATION_1.csv
INTRADAY,NarrowRange_Bot10_H10,0.0408884357467459,426954,1.1385700607688662,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,WeakRally_H1,-0.0009866061651051,323052,-8.602717553269553,True,DEEP_EXPLORATION_1.csv
DIVERGENCE,PanicSell_H1,0.3835808779997436,164259,1.0081215326892978,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,StrongConfirm_H1,0.0005023477420094,77022,0.8329849494580569,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,QuietDecline_H1,0.0024238371805941,198001,10.205461984750071,True,DEEP_EXPLORATION_1.csv
DIVERGENCE,WeakRally_H5,0.0488686677288037,321799,1.048436209371953,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,PanicSell_H5,0.1637686091564838,162416,1.06396988599376,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,StrongConfirm_H5,0.0024808054015474,76585,2.3724941724885458,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,QuietDecline_H5,0.0067112539240894,196044,8.965884149564285,True,DEEP_EXPLORATION_1.csv
DIVERGENCE,WeakRally_H10,0.1107833005195984,318817,1.4985319004005924,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,PanicSell_H10,0.1589822845858759,161112,1.1136747108921206,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,StrongConfirm_H10,0.0069985136390069,75650,3.669971376930494,True,DEEP_EXPLORATION_1.csv
DIVERGENCE,QuietDecline_H10,0.1413973396364002,194284,1.098851409349877,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,WeakRally_H20,0.1077183350943528,308507,1.5859109766451254,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,PanicSell_H20,0.1177049737744522,158541,1.2981291740550815,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,StrongConfirm_H20,0.1860279403107704,74282,1.105474994799137,False,DEEP_EXPLORATION_1.csv
DIVERGENCE,QuietDecline_H20,0.136678460615426,190397,1.1707736156978774,False,DEEP_EXPLORATION_1.csv
REVERSAL,VBottom_H1,-0.0014148925954241,118637,-3.952770553060636,True,DEEP_EXPLORATION_1.csv
REVERSAL,InvertedV_H1,0.0035701522366534,125463,10.22030004425202,True,DEEP_EXPLORATION_1.csv
REVERSAL,DoubleBottom_H1,0.0038826535391311,85673,8.859426287281368,True,DEEP_EXPLORATION_1.csv
