strategy,mean,n,t
VolExpand10_H1,0.0012703826170023006,909066,6.588969096052757
VolContract10_H1,0.0006791794320739784,434576,7.745988071688019
VolExpand10_H5,0.005078227274077514,904279,18.21890227613925
VolContract10_H5,0.003084156337636708,429791,12.7757188021297
VolExpand10_H10,0.037698577846900734,897944,1.3540098404487428
VolContract10_H10,0.0067203947469328205,422254,17.56367101864702
VolExpand10_H20,0.11143749429739876,879673,1.4777968704387716
VolContract10_H20,0.009816297215346421,413959,18.66426006836333
VolExpand20_H1,0.0009494900691148871,726044,9.035059286863929
VolContract20_H1,0.0007258622059859559,285039,4.5449375771843075
VolExpand20_H5,0.11168517882378422,721831,1.2542885050541213
VolContract20_H5,0.002860268960381472,282575,6.935564117127457
VolExpand20_H10,0.23829275780727968,716147,2.5752168740456005
VolContract20_H10,0.005379982484946359,279492,8.777020484441293
VolExpand20_H20,0.4879623847943471,701203,3.63245376517459
VolContract20_H20,0.012834961522323725,274794,13.054529113318953
