date,contango_ratio,term_structure,vix_percentile,contango_percentile,vix_5d_change,vix_20d_change,vix,vix3m
2018-07-31 04:00:00+00:00,1.1590023362419284,CONTANGO,,,0.05683686662849374,0.06384738617727437,12.829999923706056,14.869999885559082
2018-07-31 05:00:00+00:00,,BACKWARDATION,,,-0.01534917984373052,0.06384738617727437,,
2018-08-01 04:00:00+00:00,1.1574145025511333,CONTANGO,,,0.009209507906238201,0.0867767937155226,13.149999618530272,15.220000267028809
2018-08-01 05:00:00+00:00,,BACKWARDATION,,,-0.07784015375423325,0.0867767937155226,,
2018-08-02 04:00:00+00:00,1.2108286084467383,CONTANGO,,,-0.14516133346940696,-0.052836077018056704,12.1899995803833,14.760000228881836
2018-08-02 05:00:00+00:00,,BACKWARDATION,,,-0.049883113571982496,-0.052836077018056704,,
2018-08-03 04:00:00+00:00,1.24484530444454,CONTANGO,,,-0.09275133183629525,-0.0948677562927489,11.640000343322754,14.489999771118164
2018-08-03 05:00:00+00:00,,BACKWARDATION,,,-0.11482884555218598,-0.0948677562927489,,
2018-08-06 04:00:00+00:00,1.2626440962061873,CONTANGO,,,-0.14296571979495776,-0.106973014266046,11.270000457763672,14.229999542236328
2018-08-06 05:00:00+00:00,,BACKWARDATION,,,-0.07547162873574931,-0.106973014266046,,
2018-08-07 04:00:00+00:00,1.2744739173135597,CONTANGO,,,-0.10336335673343,-0.11925862694873102,10.93000030517578,13.93000030517578
2018-08-07 05:00:00+00:00,,BACKWARDATION,,,-0.060996565052016005,-0.11925862694873102,,
2018-08-08 04:00:00+00:00,1.286635902980122,CONTANGO,,,-0.0678694105285148,-0.11716839583831717,10.850000381469728,13.960000038146973
2018-08-08 05:00:00+00:00,,BACKWARDATION,,,-0.037267086001280036,-0.11716839583831717,,
2018-08-09 04:00:00+00:00,1.253771032875784,CONTANGO,,,0.0,-0.07166390946912948,11.270000457763672,14.130000114440918
2018-08-09 05:00:00+00:00,,BACKWARDATION,,,0.03110705792266888,-0.07166390946912948,,
2018-08-10 04:00:00+00:00,1.156534988108058,CONTANGO,,,0.2040255699883502,0.009976985196090693,13.15999984741211,15.220000267028809
2018-08-10 05:00:00+00:00,,BACKWARDATION,,,0.21290316909919516,0.009976985196090693,,
2018-08-13 04:00:00+00:00,1.096752325936206,CONTANGO,,,0.3622119090625424,0.036465602787029594,14.779999732971191,16.209999084472656
2018-08-13 05:00:00+00:00,,BACKWARDATION,,,0.3114462406955407,0.036465602787029594,,
2018-08-14 04:00:00+00:00,1.153268211685885,CONTANGO,,,0.18101152431167056,0.037412353761884454,13.3100004196167,15.350000381469728
2018-08-14 05:00:00+00:00,,BACKWARDATION,,,0.011398219904545703,0.037412353761884454,,
2018-08-15 04:00:00+00:00,1.1058743274853686,CONTANGO,,,0.11246204506618462,0.11330804319513854,14.640000343322754,16.190000534057617
2018-08-15 05:00:00+00:00,,BACKWARDATION,,,-0.009472218685912859,0.11330804319513854,,
2018-08-16 04:00:00+00:00,1.1531598846713478,CONTANGO,,,-0.08998646466407534,0.10336343496758493,13.449999809265137,15.510000228881836
2018-08-16 05:00:00+00:00,,BACKWARDATION,,,0.010518361024399514,0.10336343496758493,,
2018-08-17 04:00:00+00:00,1.2001582012857852,CONTANGO,,,-0.050338095805502636,0.08591065038702062,12.640000343322754,15.170000076293944
2018-08-17 05:00:00+00:00,,BACKWARDATION,,,-0.136612018654234,0.08591065038702062,,
2018-08-20 04:00:00+00:00,1.200960790622747,CONTANGO,,,-0.14685795913831357,0.10825193112694675,12.489999771118164,15.0
2018-08-20 05:00:00+00:00,,BACKWARDATION,,,-0.07137546853239873,0.10825193112694675,,
2018-08-21 04:00:00+00:00,1.1811819584688914,CONTANGO,,,-0.043866182970609735,0.17657816080641253,12.859999656677246,15.1899995803833
2018-08-21 05:00:00+00:00,,BACKWARDATION,,,0.017405008495170682,0.17657816080641253,,
2018-08-22 04:00:00+00:00,1.2310204019351882,CONTANGO,,,-0.030854456703300337,0.12903221836943657,12.25,15.079999923706056
2018-08-22 05:00:00+00:00,,BACKWARDATION,,,-0.01921535432475663,0.12903221836943657,,
2018-08-23 04:00:00+00:00,1.213537518516344,CONTANGO,,,-0.006405118108252172,0.1011534466143802,12.40999984741211,15.0600004196167
2018-08-23 05:00:00+00:00,,BACKWARDATION,,,-0.03499221005278064,0.1011534466143802,,
