symbol,category,volatility,ma_crosses_per_year,efficiency_ratio,pct_time_extreme,gaps_per_year,return_3m,dollar_volume,beta
XLRE,ETF_sector,0.1657851567962046,33.633466135458164,0.02292733847777428,18.127490039840637,2.50996015936255,-0.03976186116536462,255514566.78807232,0.5373299616637054
ARKK,ETF_thematic,0.4041513226458201,36.14342629482071,0.05969436593169432,22.50996015936255,37.64940239043825,-0.03924382277386085,851565664.3154799,1.9615033309797136
ARKG,ETF_thematic,0.43463572351079305,29.617529880478088,0.004483929338610962,18.127490039840637,28.111553784860558,0.07633589109406858,82668361.2498614,1.6371723116395087
ARKF,ETF_thematic,0.3434351505007578,25.099601593625497,0.10403745185668259,26.294820717131472,27.10756972111554,-0.12457847086349716,22820550.18172549,1.6819897431566075
ARKW,ETF_thematic,0.35788029297213764,34.135458167330675,0.12797527429160446,30.278884462151396,34.13545816733068,-0.09641014313412011,34967707.86179014,1.7396947137008396
ARKQ,ETF_thematic,0.3173681565472917,30.119521912350596,0.14265745565087518,27.689243027888445,26.103585657370516,0.05442088322103489,16942970.70159,1.5997107532355401
TAN,ETF_thematic,0.3874121919642359,39.155378486055774,0.002935592468640868,17.330677290836654,36.645418326693225,0.1562426932609684,50370963.46482433,0.93736689995452
LIT,ETF_thematic,0.3235318934396785,34.135458167330675,0.046054656366782486,24.302788844621514,33.633466135458164,0.20719525623822288,23005461.659569,0.9279585934914493
ICLN,ETF_thematic,0.23590375669038072,32.62948207171315,0.02501256021066612,21.115537848605577,12.54980079681275,0.09071153426250067,51448356.1653369,0.6230340055205386
BOTZ,ETF_thematic,0.24950119205907167,27.10756972111554,0.051384621338074137,21.51394422310757,14.055776892430279,0.008412766078077283,25768398.09295077,1.3066629215892014
ROBO,ETF_thematic,0.22334184109040653,31.12350597609562,0.04826739255367471,18.326693227091635,8.53386454183267,0.03342294248526789,5131269.365438332,1.1865996442992297
GLD,ETF_commodity,0.17223837311461637,32.12749003984064,0.27298608520343587,28.68525896414343,9.53784860557769,0.15170582132109955,3705986615.9421215,0.10737368258004733
SLV,ETF_commodity,0.29911530514264945,30.119521912350596,0.24874394266811026,29.282868525896415,28.111553784860554,0.5247748173460665,1457814597.9251587,0.47677217303053543
USO,ETF_commodity,0.2881679460238577,33.633466135458164,0.0015870046994056895,16.135458167330675,24.59760956175299,-0.09353769469695594,305328703.5033754,0.3562166186194143
UNG,ETF_commodity,0.5860856835348387,34.63745019920319,0.023940911808616797,18.326693227091635,101.90438247011951,-0.01375405186213785,101900667.86229035,0.1953453173880835
WEAT,ETF_commodity,0.21030104135701339,29.617529880478088,0.059512743826855466,18.127490039840637,2.50996015936255,-0.04857145036969868,3051039.0639618956,0.047582895311474305
CORN,ETF_commodity,0.15161678321339478,28.61354581673307,0.04565902623697181,20.318725099601593,0.50199203187251,0.0022535727057657606,1266031.4396558055,0.022149436893931316
DBA,ETF_commodity,0.15315344364870845,30.621513944223107,0.0832935232546685,25.49800796812749,3.0119521912350598,-0.02275265629071832,9870030.88502314,0.18715788428370345
SPY,ETF_broad,0.16371670616880216,23.09163346613546,0.1452097912917277,25.49800796812749,5.0199203187251,0.02620588396887813,44413524501.310455,1.00200022919438
QQQ,ETF_broad,0.2097934587341324,30.119521912350596,0.12106261628286917,27.290836653386453,6.525896414342629,0.03151115881190214,26471875059.20825,1.2322653566141835
IWM,ETF_broad,0.21880186004568747,33.13147410358566,0.06006515995214265,20.916334661354583,9.03585657370518,0.03195131402945761,8424731691.817155,1.0909543193637812
DIA,ETF_broad,0.14247524125655256,19.07569721115538,0.10975173538805344,23.904382470119522,3.5139442231075697,0.04115261937366643,1848789234.9440312,0.7775818138548903
VTI,ETF_broad,0.1647891891794633,22.087649402390436,0.1383098946118828,26.294820717131472,5.0199203187251,0.027628543845985343,1154782421.7623525,1.0051461952071958
VOO,ETF_broad,0.15825374724626914,23.09163346613546,0.1483489645073173,25.697211155378486,4.517928286852589,0.029131015049898457,4107094031.663543,0.966352938755236
NVDA,tech_volatile,0.510831933712126,32.12749003984064,0.2368153458791152,28.087649402390436,56.72509960159361,0.014403908958031675,54605763026.025505,2.108935017968835
AMD,tech_volatile,0.5476006237618071,19.577689243027887,0.04802236367036791,30.0796812749004,54.71713147410358,0.32647607689216107,10920200548.360039,2.1024795533543625
TSLA,tech_volatile,0.6352569103440243,31.12350597609562,0.0652286717827416,28.286852589641438,60.7410358565737,0.1299753559004555,46624275911.68403,2.286950182794232
PLTR,tech_volatile,0.6569766969076748,27.10756972111554,0.7348807742874799,34.8605577689243,59.73705179282868,0.05932622103536245,13481717825.187992,2.1391618095035287
SNOW,tech_volatile,0.5225048639619239,23.593625498007967,0.014277216400588552,30.0796812749004,41.16334661354581,-0.004831290170449476,1324088607.1722934,1.5434818294585035
NET,tech_volatile,0.4997947070674797,35.64143426294821,0.12461922779321577,27.689243027888445,38.65338645418326,-0.12353311166192926,620489796.631905,1.6752619475961352
DDOG,tech_volatile,0.4384462041100024,27.609561752988046,0.017455993744284914,29.482071713147413,34.63745019920319,0.021092397851628197,653870756.9082648,1.3147065723490168
CRWD,tech_volatile,0.46324728042146057,25.60159362549801,0.08567732106539173,26.89243027888446,33.633466135458164,-0.005825257774559334,1976184761.712768,1.643073788365384
ZS,tech_volatile,0.4193467155319714,25.60159362549801,0.006963052559594356,33.266932270916335,23.09163346613546,-0.19613537909088652,468174113.3151719,1.4098571800499526
MRNA,biotech,0.6415144884651602,27.10756972111554,0.04157517748814979,24.50199203187251,33.633466135458164,0.3105854221474895,268175085.38096833,1.309292716158611
BNTX,biotech,0.457206086159061,32.62948207171315,0.01032524358025362,21.713147410358566,26.605577689243027,-0.05871575089214698,81342731.07569721,0.8540037517695631
REGN,biotech,0.3316785545704464,29.173652694610777,0.011960452635849071,32.33532934131736,9.053892215568862,0.2908321193343866,635198894.8527749,0.6147906970356504
VRTX,biotech,0.29303244414845875,33.19760479041916,0.023561198105434555,25.149700598802394,4.526946107784431,0.1907185717458193,643469206.6391509,0.4840600751320989
BIIB,biotech,0.2924596356327008,29.617529880478088,0.042829149035817846,24.50199203187251,4.517928286852589,0.2547556249739864,252010069.73838046,0.5831497906202721
GILD,biotech,0.2636585281757262,34.203592814371255,0.11574633192126349,27.944111776447105,8.550898203592814,0.10489824229571187,924068272.1839858,0.29053428956319943
ILMN,biotech,0.43943476028369194,36.14342629482071,0.001220857302500486,19.322709163346612,21.58565737051793,0.35634492355825986,281596356.4718513,1.130535593400245
COIN,crypto_related,0.8020095507765247,27.609561752988046,0.027779649295885972,26.693227091633464,93.87250996015936,-0.2341675586338514,2701287385.9988756,2.465629424939103
MSTR,crypto_related,0.9514857652610103,19.577689243027887,0.08483378818368259,25.49800796812749,109.93625498007967,-0.49716270688256203,2820103223.653506,2.3905656729481244
MARA,crypto_related,0.9647484152384698,34.63745019920319,0.024562660254641315,22.50996015936255,120.9800796812749,-0.4251834651927704,530879889.91470337,2.57857429659389
RIOT,crypto_related,0.8930512353497041,31.625498007968126,0.005544971298004255,26.49402390438247,114.95617529880477,-0.15055651674109083,413887329.8804781,2.625059506490396
HUT,crypto_related,1.0465439976850819,27.10756972111554,0.10473385151759183,27.091633466135455,124.99601593625499,0.24562397551356252,260848762.5057456,2.8802533317260024
CLSK,crypto_related,1.04801638834675,36.645418326693225,0.005966247049382922,26.49402390438247,134.03187250996015,-0.13515457477094672,355953910.32003903,2.7106526571042693
RIVN,ev_clean,0.701858083993528,27.10756972111554,0.0020413081834297375,28.884462151394423,47.689243027888445,0.44558925621078105,880477241.4360288,1.3279176457231774
LCID,ev_clean,0.7842193007092629,24.59760956175299,0.041485768969932196,31.872509960159363,51.70517928286853,-0.4685251881084016,89087375.6086541,1.3494867695776949
NIO,ev_clean,0.6710977272049746,28.61354581673307,0.022776620545002017,26.095617529880478,96.88446215139442,-0.27994229513358426,287344504.66865754,0.9723824777501335
XPEV,ev_clean,0.7049822769584314,37.147410358565736,0.02457486951818417,20.717131474103585,127.00398406374502,-0.06276545022112734,233456376.2544275,0.9403031335400631
LI,ev_clean,0.5892654485254495,27.609561752988046,0.03653113946245903,29.880478087649404,105.4183266932271,-0.32081504060564525,110765487.84860557,0.7365773101419919
PLUG,ev_clean,1.0733202985928905,29.115537848605577,0.01933504161805471,26.89243027888446,91.86454183266932,-0.1304347539279933,152438937.20840737,1.6579776184662047
FCEL,ev_clean,1.0383614122389295,23.09163346613546,0.033172702356425346,26.49402390438247,73.79282868525897,-0.08149777283435578,13748198.55089835,1.4002252322497903
BE,ev_clean,0.9570712916465729,28.61354581673307,0.2638871397670347,28.087649402390436,90.8605577689243,0.14784185639010117,717418670.8577373,1.8810510969267302
