date,close,regime_id,regime,returns
2024-08-27,561.5599975585938,0,BULL,0.0013730978823098816
2024-08-28,558.2999877929688,2,RANGE,-0.005805274200081922
2024-08-29,558.3499755859375,0,BULL,8.953572284031708e-05
2024-08-30,563.6799926757812,0,BULL,0.009546014727143781
2024-09-03,552.0800170898438,1,BEAR,-0.020579008899841544
2024-09-04,550.9500122070312,0,BULL,-0.0020468135919301522
2024-09-05,549.6099853515625,0,BULL,-0.0024322113182296823
2024-09-06,540.3599853515625,2,RANGE,-0.01683011634892906
2024-09-09,546.4099731445312,0,BULL,0.011196217256969065
2024-09-10,548.7899780273438,0,BULL,0.0043557127427886755
2024-09-11,554.4199829101562,0,BULL,0.010258942597767273
2024-09-12,559.0900268554688,0,BULL,0.008423296578884854
2024-09-13,562.010009765625,2,RANGE,0.005222741901835137
2024-09-16,562.8400268554688,2,RANGE,0.0014768724318450221
2024-09-17,563.0700073242188,2,RANGE,0.00040860716682655784
2024-09-18,561.4000244140625,2,RANGE,-0.0029658530705484187
2024-09-19,570.97998046875,2,RANGE,0.01706440263283948
2024-09-20,568.25,0,BULL,-0.004781219240837187
2024-09-23,569.6699829101562,2,RANGE,0.0024988700574681832
2024-09-24,571.2999877929688,2,RANGE,0.0028613143253319873
2024-09-25,570.0399780273438,2,RANGE,-0.0022055133774685487
2024-09-26,572.2999877929688,0,BULL,0.003964651345061521
2024-09-27,571.469970703125,0,BULL,-0.0014503182029491635
2024-09-30,573.760009765625,2,RANGE,0.0040072780371684935
2024-10-01,568.6199951171875,0,BULL,-0.0089584749040581
2024-10-02,568.8599853515625,0,BULL,0.00042205732551758857
2024-10-03,567.8200073242188,0,BULL,-0.0018281792604923908
2024-10-04,572.97998046875,0,BULL,0.009087339434985742
2024-10-07,567.7999877929688,0,BULL,-0.009040442689714157
2024-10-08,573.1699829101562,0,BULL,0.009457547081078044
2024-10-09,577.1400146484375,0,BULL,0.006926447400689373
2024-10-10,576.1300048828125,0,BULL,-0.0017500255397128184
2024-10-11,579.5800170898438,0,BULL,0.005988252959907792
2024-10-14,584.3200073242188,0,BULL,0.008178318945803564
2024-10-15,579.780029296875,0,BULL,-0.0077696775233381254
2024-10-16,582.2999877929688,0,BULL,0.00434640444437151
2024-10-17,582.3499755859375,2,RANGE,8.584543021927793e-05
2024-10-18,584.5900268554688,0,BULL,0.0038465722734466468
2024-10-21,583.6300048828125,0,BULL,-0.0016422140791901851
2024-10-22,583.3200073242188,0,BULL,-0.0005311542518380286
2024-10-23,577.989990234375,2,RANGE,-0.009137380893711078
2024-10-24,579.239990234375,2,RANGE,0.0021626672107126765
2024-10-25,579.0399780273438,2,RANGE,-0.00034530110213959464
2024-10-28,580.8300170898438,2,RANGE,0.003091391148152267
2024-10-29,581.77001953125,0,BULL,0.0016183778622804734
2024-10-30,580.010009765625,2,RANGE,-0.0030252672130528513
2024-10-31,568.6400146484375,2,RANGE,-0.01960310154264744
2024-11-01,571.0399780273438,2,RANGE,0.004220532001058652
2024-11-04,569.8099975585938,2,RANGE,-0.0021539305759273875
2024-11-05,576.7000122070312,2,RANGE,0.012091775640930225
2024-11-06,591.0399780273438,0,BULL,0.024865554910313614
2024-11-07,595.6099853515625,0,BULL,0.0077321458684938005
2024-11-08,598.1900024414062,0,BULL,0.004331722357409529
2024-11-11,598.760009765625,0,BULL,0.0009528867448342915
2024-11-12,596.9000244140625,0,BULL,-0.003106395419244068
2024-11-13,597.1900024414062,0,BULL,0.000485806693723001
2024-11-14,593.3499755859375,2,RANGE,-0.006430159312396544
2024-11-15,585.75,2,RANGE,-0.012808588351979733
2024-11-18,588.1500244140625,2,RANGE,0.004097352819568911
2024-11-19,590.2999877929688,2,RANGE,0.003655467635231613
2024-11-20,590.5,0,BULL,0.000338831460557909
2024-11-21,593.6699829101562,0,BULL,0.005368302980789608
2024-11-22,595.510009765625,0,BULL,0.003099410292649374
2024-11-25,597.530029296875,0,BULL,0.003392083253218603
2024-11-26,600.6500244140625,0,BULL,0.005221486727384761
2024-11-27,598.8300170898438,0,BULL,-0.0030300628489846604
2024-11-29,602.5499877929688,0,BULL,0.006212064520751737
2024-12-02,603.6300048828125,0,BULL,0.0017924107737512518
2024-12-03,603.9099731445312,0,BULL,0.000463807728996235
2024-12-04,607.6599731445312,0,BULL,0.006209534809425099
2024-12-05,606.6599731445312,0,BULL,-0.00164565718361398
2024-12-06,607.8099975585938,0,BULL,0.0018956655539701384
2024-12-09,604.6799926757812,2,RANGE,-0.005149643631043976
2024-12-10,602.7999877929688,2,RANGE,-0.003109090602606557
2024-12-11,607.4600219726562,2,RANGE,0.007730647435394422
2024-12-12,604.3300170898438,2,RANGE,-0.005152610492206833
2024-12-13,604.2100219726562,2,RANGE,-0.00019855892276432474
2024-12-16,606.7899780273438,0,BULL,0.004269965675617771
2024-12-17,604.2899780273438,0,BULL,-0.004120041679210651
2024-12-18,586.280029296875,1,BEAR,-0.029803487374158943
2024-12-19,586.0999755859375,2,RANGE,-0.0003071121340316729
2024-12-20,591.1500244140625,2,RANGE,0.008616360754965635
2024-12-23,594.6900024414062,2,RANGE,0.005988290418921238
2024-12-24,601.2999877929688,2,RANGE,0.011115010046286677
2024-12-26,601.3400268554688,2,RANGE,6.658749927290764e-05
2024-12-27,595.010009765625,2,RANGE,-0.010526518786625139
2024-12-30,588.219970703125,1,BEAR,-0.01141163837760406
2024-12-31,586.0800170898438,1,BEAR,-0.0036380159121820466
2025-01-02,584.6400146484375,1,BEAR,-0.0024570065510107764
2025-01-03,591.9500122070312,1,BEAR,0.012503416419400448
2025-01-06,595.3599853515625,2,RANGE,0.005760576187535671
2025-01-07,588.6300048828125,1,BEAR,-0.011304052395755049
2025-01-08,589.489990234375,1,BEAR,0.0014609947580461746
2025-01-10,580.489990234375,1,BEAR,-0.015267434815002923
2025-01-13,581.3900146484375,1,BEAR,0.0015504563889190415
2025-01-14,582.1900024414062,1,BEAR,0.0013759916283606621
2025-01-15,592.780029296875,2,RANGE,0.018189984044830076
2025-01-16,591.6400146484375,1,BEAR,-0.0019231664227786771
2025-01-17,597.5800170898438,2,RANGE,0.010039892999691435
2025-01-21,603.0499877929688,0,BULL,0.00915353684308795
2025-01-22,606.4400024414062,0,BULL,0.005621448830210873
2025-01-23,609.75,0,BULL,0.005458079192118603
2025-01-24,607.969970703125,0,BULL,-0.0029192772396473554
2025-01-27,599.3699951171875,2,RANGE,-0.01414539533258774
2025-01-28,604.52001953125,2,RANGE,0.008592396109277312
2025-01-29,601.8099975585938,2,RANGE,-0.0044829317228528565
2025-01-30,605.0399780273438,0,BULL,0.005367110021191612
2025-01-31,601.8200073242188,0,BULL,-0.00532191395620385
2025-02-03,597.77001953125,0,BULL,-0.006729566554251942
2025-02-04,601.780029296875,2,RANGE,0.006708281838506247
2025-02-05,604.219970703125,2,RANGE,0.004054540342757651
2025-02-06,606.3200073242188,0,BULL,0.003475616038725038
2025-02-07,600.77001953125,2,RANGE,-0.009153562023232031
2025-02-10,604.8499755859375,0,BULL,0.0067912111491030824
2025-02-11,605.3099975585938,0,BULL,0.000760555495121995
2025-02-12,603.3599853515625,0,BULL,-0.0032215099947072723
2025-02-13,609.72998046875,0,BULL,0.010557536581541571
2025-02-14,609.7000122070312,0,BULL,-4.9150054415414424e-05
2025-02-18,611.489990234375,0,BULL,0.0029358340027980656
2025-02-19,612.9299926757812,2,RANGE,0.0023549076262954216
2025-02-20,610.3800048828125,2,RANGE,-0.00416032470826988
2025-02-21,599.9400024414062,2,RANGE,-0.017104102948802602
2025-02-24,597.2100219726562,2,RANGE,-0.004550422471648163
2025-02-25,594.239990234375,2,RANGE,-0.004973177992678157
2025-02-26,594.5399780273438,2,RANGE,0.0005048259926943022
2025-02-27,585.0499877929688,1,BEAR,-0.01596190430433686
2025-02-28,594.1799926757812,2,RANGE,0.015605512474676564
2025-03-03,583.77001953125,1,BEAR,-0.017519898469909534
2025-03-04,576.8599853515625,1,BEAR,-0.011836911709231068
2025-03-05,583.0599975585938,1,BEAR,0.010747863198125485
2025-03-06,572.7100219726562,1,BEAR,-0.017751133038238276
2025-03-07,575.9199829101562,1,BEAR,0.005604862520902865
2025-03-10,560.5800170898438,1,BEAR,-0.02663558528182819
2025-03-11,555.9199829101562,1,BEAR,-0.008312879584754462
2025-03-12,558.8699951171875,1,BEAR,0.005306541044969082
2025-03-13,551.4199829101562,1,BEAR,-0.01333049237232553
2025-03-14,562.8099975585938,1,BEAR,0.020655788693630495
2025-03-17,567.1500244140625,1,BEAR,0.007711353519474162
2025-03-18,561.02001953125,1,BEAR,-0.010808436249554187
2025-03-19,567.1300048828125,1,BEAR,0.010890850841058342
2025-03-20,565.489990234375,1,BEAR,-0.0028917790177164227
2025-03-21,563.97998046875,1,BEAR,-0.0026702678945725866
2025-03-24,574.0800170898438,1,BEAR,0.017908502022889516
