ticker,entry_date,return,vix_at_entry,rsi_at_entry,mfi_at_entry
COIN,2025-03-03,-5.371037324449165,22.78,25.556355351815625,26.751631589348875
COIN,2025-03-04,-11.405833019894652,23.51,31.362733199920513,26.19719166380318
COIN,2025-03-06,-5.514452109066578,24.87,18.391324898133945,19.56382708193138
COIN,2025-03-07,-0.4144753734768648,23.37,24.674860416597852,21.59944789996233
COIN,2025-03-10,4.27419190765709,27.86,19.67329286069669,21.347388544616308
COIN,2025-03-11,-3.490272404533781,26.92,27.26408599450518,27.33289658356769
COIN,2025-11-17,4.699135737523878,22.38,26.34387926099039,22.6132284131467
COIN,2025-11-18,3.0014954044747464,24.69,26.965924605045174,22.505619500643007
COIN,2025-11-19,5.469651750053557,23.66,29.39950104806036,22.303265066485153
COIN,2025-11-20,13.709407770434545,26.42,20.116554689386092,12.15908096751653
COIN,2025-11-21,12.428479880823291,23.43,22.82469328539264,12.198576016702262
HUT,2025-03-11,1.7142860256895727,26.92,15.79406992662949,27.579113707221936
HUT,2025-11-21,31.90088103608515,23.43,20.247693849426454,19.684557044829404
BTBT,2025-04-10,15.340908090314583,40.72,29.865778362925496,29.384982525534937
BTBT,2025-04-11,2.1052674507500932,37.56,27.931037516145665,26.597543016719726
BTBT,2025-11-17,5.309740021417584,22.38,16.81818526638395,22.220748540794048
BTBT,2025-11-18,-6.918237421920415,24.69,18.303581929706354,27.75872844407054
BTBT,2025-11-19,-3.508768627628134,23.66,18.636373931708917,28.855769140753054
BTBT,2025-11-20,16.461905926242082,26.42,13.242015048018999,21.99243744604972
BTBT,2025-11-21,10.798111187673692,23.43,16.58291866681634,22.630761457687598
CIFR,2025-03-07,-16.48351993844085,23.37,22.32142949460551,27.464115638881594
CIFR,2025-03-10,-12.418296834253114,27.86,19.146607595900875,27.592016973725748
CIFR,2025-03-11,-23.723723121705458,26.92,18.791212677998445,23.461886306465217
CIFR,2025-03-12,-25.64102505320861,24.23,18.070958119587047,26.88515747291696
CIFR,2025-03-13,-25.324675023083255,24.66,19.926655690086193,28.392906574461676
CIFR,2025-03-14,-18.272423722886323,21.77,23.076926154946037,29.695060102663447
NTLA,2025-03-31,-3.1073417028582484,22.28,29.455907274934404,28.861839202318222
NTLA,2025-04-01,11.230769524207481,21.77,22.872828438517445,23.70181346753131
NTLA,2025-04-03,21.66911438422938,30.02,31.37416959091243,26.516920868951146
NTLA,2025-04-04,30.694670077605824,45.31,24.829355784929206,19.445955291582692
NTLA,2025-04-07,19.06841981715828,46.98,26.169069977219877,19.2240862561778
NTLA,2025-04-08,36.22951720549657,52.33,23.555164510084865,19.418058608521946
NTLA,2025-04-10,21.66172236983265,40.72,31.16553607100751,28.34340333038554
NTLA,2025-11-20,14.110437129222525,26.42,26.14582993917942,27.2368390663665
NTLA,2025-11-21,13.438252129776368,23.43,23.92703694680104,18.950214991999303
NTLA,2025-11-24,13.825980929015147,20.52,27.590222428179374,22.513076781321615
BEAM,2025-03-10,-16.31016198620706,27.86,27.246201020554082,27.374833019173593
BEAM,2025-03-11,-17.524623795784606,26.92,27.77295248077958,29.545294783733866
BEAM,2025-04-01,-1.4492753623188406,21.77,18.11664548218701,18.017548179505525
BEAM,2025-04-02,6.697867819562915,21.51,26.211128796269605,23.627996965901957
BEAM,2025-04-03,20.846489279628276,30.02,24.134480045471605,23.521864570151862
BEAM,2025-04-04,36.94004497451764,45.31,20.948482159694493,22.28911854859804
BEAM,2025-04-07,24.583072334456812,46.98,24.0014151390355,21.65265772669673
