ticker,data_days,rsi10_signals,rsi10_wr,rsi15_signals,rsi15_wr,rsi20_signals,rsi20_wr,vol_spike_signals,vol_spike_wr,down3_signals,down3_wr,combo_signals,combo_wr,deep_drop_signals,deep_drop_wr,gap_fade_signals,gap_fade_wr,score,edges_65plus,edges_55plus
IWM,250,0,0.0,2,0.0,7,14.285714285714285,6,50.0,2,100.0,1,0.0,0,0.0,0,0.0,370.1477199559317,1,1
BLK,249,1,0.0,1,0.0,6,50.0,2,0.0,2,100.0,0,0.0,0,0.0,1,0.0,359.38285820574777,1,1
XME,250,0,0.0,0,0.0,3,100.0,1,0.0,0,0.0,0,0.0,0,0.0,1,100.0,346.5735902799727,1,1
SPY,250,0,0.0,0,0.0,2,50.0,3,33.33333333333333,2,100.0,0,0.0,0,0.0,0,0.0,343.9677902230219,1,1
NFLX,250,0,0.0,0,0.0,1,100.0,2,0.0,4,25.0,0,0.0,0,0.0,2,100.0,308.84458669507876,1,1
SCHW,249,0,0.0,0,0.0,1,100.0,5,20.0,1,100.0,0,0.0,0,0.0,0,0.0,296.3542972728225,0,0
DDOG,250,5,0.0,3,0.0,11,9.090909090909092,5,20.0,14,0.0,0,0.0,33,21.21212121212121,3,33.33333333333333,294.7458907910024,0,0
MQ,250,1,0.0,8,0.0,12,8.333333333333332,4,25.0,3,66.66666666666666,1,0.0,2,0.0,3,33.33333333333333,287.94232582328976,1,1
A,249,0,0.0,7,14.285714285714285,9,0.0,2,0.0,1,0.0,3,33.33333333333333,0,0.0,1,100.0,282.209923513692,0,0
BAC,250,0,0.0,0,0.0,2,50.0,1,0.0,2,0.0,0,0.0,1,100.0,0,0.0,248.49066497880003,0,0
B,250,0,0.0,0,0.0,0,0.0,1,0.0,4,100.0,0,0.0,0,0.0,0,0.0,241.41568686511505,1,1
RTX,250,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,1,100.0,234.106561356211,1,1
XLF,250,0,0.0,0,0.0,0,0.0,3,33.33333333333333,2,100.0,0,0.0,0,0.0,0,0.0,234.10656135621096,1,1
V,250,0,0.0,0,0.0,0,0.0,5,0.0,3,100.0,0,0.0,0,0.0,0,0.0,207.94415416798358,1,1
