ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score
BLK_365,32,5,1.0,15,80.0,3.7734145653509894,-1.1093127989496117,2.796869092490869,0.7761552522295302,2.4232725147584357
AXP_365,34,11,1.5,8,87.5,8.110270947210335,-4.30035468842854,6.558942742755477,1.193565336399832,3.249859233196925
V_365,34,6,1.0,14,92.85714285714286,3.282333323905529,-1.4737927558337427,2.942610032495581,1.3152189209044698,2.601651717568317
UNH_365,24,11,1.5,9,77.77777777777779,11.527430809905196,-3.7595713100522388,8.130319227692432,0.7838001310364234,4.232172727304589
JNJ_365,34,11,1.0,8,100.0,4.565474594122772,0.0,4.565474594122772,2.079408345395699,2.585668715385984
LLY_365,32,11,1.0,14,92.85714285714286,14.310543942469776,-14.08697681356842,12.282149602752764,1.2929130947844365,10.820670009417006
ABBV_365,32,11,1.5,8,75.0,9.35340705205814,-2.130044352875857,6.482544200824641,1.2058615879666308,3.218381763855479
MRK_365,32,11,1.0,18,83.33333333333334,7.033182104456935,-2.6122482414166694,5.425610380144668,1.077443179101602,5.935290983509152
PFE_365,34,11,1.0,10,90.0,6.042728826943086,-0.524010174815436,5.386054926767233,1.6718979193368952,3.593520865933254
TMO_365,34,3,1.5,7,57.14285714285714,6.843959406105149,-1.9379553339940667,3.080281660348342,0.512814675890736,1.1886715360131797
HD_365,28,6,1.5,6,100.0,4.479098748158138,0.0,4.479098748158138,4.612485708983395,2.583316362347731
NKE_365,16,1,1.0,5,80.0,2.646032493630812,-3.844765482153825,1.3478728984738848,0.4736196985528059,0.3688871824116061
SBUX_365,30,4,1.0,14,64.28571428571429,4.00754782778238,-1.3907898957232239,2.0795700693875214,0.6046391250338422,1.63173356837941
TGT_365,32,3,1.5,8,50.0,3.8175221971853865,-1.425602967868815,1.1959596146582856,0.3741960743250845,0.514185717291832
LOW_365,30,7,1.5,6,100.0,5.25409609704256,0.0,5.25409609704256,1.6457489925734168,2.095044230628271
MCD_365,34,11,1.0,18,66.66666666666666,2.8516426108129846,-2.588212636384805,1.0383575284137216,0.3525060081238398,1.0004066836947119
WMT_365,34,11,1.0,13,69.23076923076923,6.339694679496185,-3.782723544720475,3.2251044566602896,0.5899775936347591,2.3436740144821413
XOM_365,34,10,1.0,12,100.0,6.638661429345244,0.0,6.638661429345244,1.9856145506228544,5.565015585299141
CVX_365,32,10,1.0,7,57.14285714285714,2.720447835525979,-3.115970124080859,0.21912585283733424,0.06768779296759503,0.07773229866831605
COP_365,34,11,1.0,14,71.42857142857143,6.513375142668314,-3.939815974531475,3.5267491091826604,0.5648745383838579,2.7476282849341955
SLB_365,34,7,1.0,9,100.0,6.7730813239080225,0.0,6.7730813239080225,2.10181209797513,4.329103579802946
EOG_365,34,11,1.5,8,62.5,4.890705477887096,-3.171124278642351,1.8675193191885535,0.44642807026810294,0.8137047713437213
OXY_365,32,11,1.0,10,100.0,6.542639594285762,0.0,6.542639594285762,1.5048630506007936,4.255897455026722
CAT_365,20,2,1.0,8,62.5,5.688565406145692,-0.499083385698821,3.368197109204,0.863908572548209,1.5800639922154747
DE_365,28,11,1.0,5,100.0,7.738481696443946,0.0,7.738481696443946,1.9966409281609292,2.7071688879581965
GE_365,34,10,1.0,9,66.66666666666666,12.367727837021265,-1.3242474469876513,7.80373607568496,1.0736308699651764,4.265731109730697
LMT_365,30,11,1.0,16,87.5,4.411231229556997,-3.1834667185139773,3.4618939860481257,0.9434048958113501,3.2920700264733282
RTX_365,34,7,1.0,7,100.0,6.985674393635259,0.0,6.985674393635259,1.8252392938716564,3.33752295559427
BA_365,32,10,1.0,15,100.0,11.762941343217916,0.0,11.762941343217916,1.4299660510169032,11.345297024549154
SPY_365,34,11,1.0,16,75.0,3.961083313825538,-1.8659027500970768,2.504336797844884,0.6578671882299274,2.2670727994885396
QQQ_365,28,11,1.0,12,83.33333333333334,5.464811115318972,-1.1278998965219407,4.36602594667882,0.9782806413728046,3.132159407611363
IWM_365,34,11,1.5,11,90.9090909090909,6.482348938825761,-0.45040075642519967,5.85209896653022,1.5764831260485281,4.233485311588723
DIA_365,34,11,1.5,5,100.0,4.8590173288641045,0.0,4.8590173288641045,2.2929364799274565,1.7718252367136347
XLF_365,32,10,1.0,9,100.0,5.362694004327931,0.0,5.362694004327931,1.6179682762276881,3.1941124916182813
XLE_365,34,10,1.0,7,100.0,4.988643995846414,0.0,4.988643995846414,1.630099766537957,2.3152645174541604
XLK_365,26,11,1.5,8,100.0,7.821958239888178,0.0,7.821958239888178,1.693493248114141,4.188497973257783
TLT_365,30,7,1.0,5,100.0,1.6281534096576202,0.0,1.6281534096576202,2.8669708625983232,0.6404317716808305
XME_365,34,10,1.0,10,100.0,7.899928064813973,0.0,7.899928064813973,1.6051031629720538,5.217983984815446
LMND_365,34,11,1.0,6,100.0,10.785974879443444,0.0,10.785974879443444,1.9836337043720929,4.519517862155517
NVTS_365,28,11,1.0,5,100.0,19.52309725226507,0.0,19.52309725226507,6.8309570126456824,11.548846217262456
VRTS_365,30,1,1.0,10,60.0,1.3363183635301823,-1.6800284969989272,0.1297796193185386,0.06784357730712669,0.06577028102288196
FTDR_365,22,1,1.5,7,42.857142857142854,1.897163663812344,-5.483765553941208,-2.3205101749039714,-0.4683574753267484,-0.7361005811272261
CRDO_365,30,6,1.5,6,83.33333333333334,26.78769949482587,-23.661969731048394,18.379421290513495,0.8107420053512373,6.4078845196100165
KMTS_365,30,3,1.5,5,80.0,14.394365751148104,-0.7284435633195,11.369803888254584,1.7159514976983543,3.8179525725929975
POST_365,30,11,1.0,14,85.71428571428571,2.8491537417057753,-2.152521168126434,2.1346287545868883,0.8848688119408294,1.7586814256116663
HL_365,34,11,1.0,9,100.0,11.283741486471715,0.0,11.283741486471715,1.3972365076335211,6.4966286681960215
F_365,32,11,1.0,5,100.0,8.750633895763126,0.0,8.750633895763126,1.8096947640896786,2.9794572911221917
A_365,16,11,1.5,5,60.0,3.865678941295071,-4.513813699516978,0.5138818849702513,0.10675510873147974,0.13121344706781968
ANNX_365,24,3,1.0,7,71.42857142857143,18.78181761875926,-1.075167427964276,13.108393319695391,0.6747493529216494,5.207079255614873
NIO_365,18,11,1.0,11,54.54545454545454,21.994565591428955,-9.074661077178096,7.872189832971205,0.45788493494199817,4.726205692381481
XPEV_365,32,10,1.0,6,100.0,10.988317830880499,0.0,10.988317830880499,1.5906224220845382,4.345191232631541
SANA_365,32,10,1.0,12,100.0,16.980916300579366,0.0,16.980916300579366,1.4634468544083468,13.170630005754134
EDIT_365,30,11,1.0,6,83.33333333333334,47.02310651179585,-11.645095293396766,37.24507287759708,1.5456188495879108,14.627523064912493
