ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score,quality_score,quality_tier,edge_normalized,combined_quality_score
WFC_365,34,11,1.0,17,88.23529411764706,8.665968171011375,-1.3318025992128155,7.489759845102647,1.4494874705202099,8.211869087293135,10,TIER_5_RISKY,10.254669538683608,19.472801723210164
SOFI_365,34,10,1.0,7,100.0,16.955865003172097,0.0,16.955865003172097,1.6986236881035308,7.950667127377398,10,TIER_5_RISKY,9.971194246419627,19.302716547851777
NFLX_365,34,11,1.0,17,82.35294117647058,10.30767876247229,-3.2772260347646838,7.91034262178341,0.8235182426762954,7.831224175841839,10,TIER_5_RISKY,9.841566101185425,19.224939660711254
C_365,34,11,1.0,15,93.33333333333333,8.533026690188501,-1.0743764783453789,7.892533145619576,1.374361172994648,7.546478526001611,10,TIER_5_RISKY,9.532539490759548,19.03952369445573
LQDA_365,30,11,1.0,17,100.0,6.881355216277748,0.0,6.881355216277748,1.4391994742559884,7.532771211440145,10,TIER_5_RISKY,9.517663319835258,19.030597991901153
BLDP_365,34,9,1.0,17,88.23529411764706,8.161471465894351,-3.1029060635530588,6.836250580077009,1.2673514889583093,7.283681492829417,10,TIER_5_RISKY,9.247333109426775,18.868399865656066
VRDN_365,30,9,1.0,15,73.33333333333333,11.530912039257068,-1.2277802415064734,8.128594097720123,0.9527506129742516,7.258124024673351,10,TIER_5_RISKY,9.219596293219862,18.851757775931915
ORCL_365,28,9,1.0,20,60.0,16.57327166645668,-8.268285707026408,6.6366487170634425,0.4028077798126068,7.171307464086746,10,TIER_5_RISKY,9.12537667138555,18.79522600283133
CRSP_365,34,11,1.0,22,72.72727272727273,11.643917835615351,-7.793928173754986,6.342687105787078,0.586712386556726,7.08695372359086,10,TIER_5_RISKY,9.033829880357086,18.74029792821425
BTBT_365,30,11,1.0,16,56.25,19.69709610307323,-6.906067581196028,8.058211991205427,0.3472649831416322,6.894303169168766,10,TIER_5_RISKY,8.82475154022044,18.614850924132263
CHPT_365,24,11,1.0,13,61.53846153846154,24.247305024248423,-13.760957373316675,9.628742563646462,0.4623625177104952,6.837438721404992,10,TIER_5_RISKY,8.763038121398981,18.577822872839388
NU_365,34,11,1.0,14,78.57142857142857,11.606814568823507,-4.102380995738694,8.24055837641732,0.9044776758595979,6.811867015824344,10,TIER_5_RISKY,8.73528585370734,18.561171512224405
SERV_365,32,11,1.0,5,80.0,30.169165937771353,-6.889954834166072,22.75734178338387,0.9633332022576736,6.785480592598944,10,TIER_5_RISKY,8.706649395397324,18.543989637238393
PANW_365,30,11,1.0,16,81.25,8.501597567495311,-1.6772867260655488,6.593056762452651,1.2338627355025975,6.576033738321118,10,TIER_5_RISKY,8.479342493682912,18.407605496209747
HL_365,34,11,1.0,9,100.0,11.283741486471715,0.0,11.283741486471715,1.3972365076335211,6.4966286681960215,10,TIER_5_RISKY,8.393166358296273,18.355899814977764
BAC_365,34,11,1.0,18,88.88888888888889,7.725464281785065,-8.013483690786854,5.976692284832629,0.9734914272730925,6.426309622841449,10,TIER_5_RISKY,8.316851035317677,18.310110621190606
CRDO_365,30,6,1.5,6,83.33333333333334,26.78769949482587,-23.661969731048394,18.379421290513495,0.8107420053512373,6.4078845196100165,10,TIER_5_RISKY,8.296854778301807,18.298112866981086
UPST_365,30,11,1.0,10,70.0,18.46171695669676,-5.828196987908032,11.174742773315321,0.6883422390687155,6.356576132817742,10,TIER_5_RISKY,8.241171199410495,18.264702719646298
RKLB_365,28,11,1.0,10,60.0,22.933150093678403,-6.136693887521533,11.30521250119843,0.596832431423753,6.327337997084461,10,TIER_5_RISKY,8.209439856066366,18.24566391363982
AVGO_365,32,11,1.0,13,69.23076923076923,12.093519091286876,-1.4544823261204682,7.924903270546154,0.9473252700038102,6.127157072823149,10,TIER_5_RISKY,7.99218901296796,18.115313407780775
INVZ_365,16,11,1.0,5,80.0,26.01794698065855,-1.5037668789816911,20.513604208730502,0.9583201165201994,6.111331030960619,10,TIER_5_RISKY,7.975013445664368,18.10500806739862
SMCI_365,34,11,1.0,10,40.0,46.31787680038983,-11.955518352922661,11.353839708402337,0.2877789134821827,6.0036594197146576,10,TIER_5_RISKY,7.858160411803791,18.034896247082273
